mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),Current(A),<I>/mA,dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,1,0,0,541027.418249528,0.0,0.87846494,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541028.418248307,0.0,0.93495995,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541029.418247085,0.0,0.94491619,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541030.418245863,0.0,0.95039022,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541031.418244641,0.0,0.95399505,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541032.418243419,0.0,0.9564364,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541033.418242197,0.0,0.95842004,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541034.418240975,0.0,0.95979333,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541035.418239753,0.0,0.96112841,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541036.418238531,0.0,0.96177691,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541037.418237309,0.0,0.96273059,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541038.418236088,0.0,0.96332186,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541039.418234866,0.0,0.96381778,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541040.418233644,0.0,0.96427554,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541041.418232422,0.0,0.96461886,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541042.4182312,0.0,0.96486682,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541043.418229978,0.0,0.96507663,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541044.418228756,0.0,0.96541989,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541045.418227534,0.0,0.96540082,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541046.418226312,0.0,0.96566784,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541047.418225091,0.0,0.96595395,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541048.418223869,0.0,0.96583951,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541049.418222647,0.0,0.96582043,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541050.418221425,0.0,0.96578228,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541051.418220203,0.0,0.9659158,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541052.418218981,0.0,0.96603024,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541053.418217759,0.0,0.96604931,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541054.418216537,0.0,0.96604931,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541055.418215315,0.0,0.96610653,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,1,0,0,541056.418214093,0.0,0.96606839,0.0,0.0,-0.000352050726996527,14,0.0,0.0,0.0
3,0,0,0,0,0,541057.418012872,0.966232,0.96671689,0.0,0.0,0.0,26,0.0,0.0,0.0
2,0,0,1,0,1,541057.419612869,0.96641737,0.9668504,0.0149201796352863,-14.9201796352863,-6.63119094901614e-06,26,-0.014425581,64.801529,0.0005770232659379365
2,0,0,1,0,1,541057.421612866,0.9663173,0.96675503,0.0313825716972351,-31.3825716972351,-2.40659525791804e-05,26,-0.03033926,30.805475,0.001213570361705507
2,0,0,1,0,1,541057.423612862,0.96621722,0.9665643,0.0379471788406373,-37.9471788406373,-4.51477164824803e-05,26,-0.036678389,25.471308,0.001467135534123016
2,0,0,1,0,1,541057.425612859,0.9661172,0.96665967,0.0423235788345338,-42.3235788345338,-6.8660814139578e-05,26,-0.040912498,22.839743,0.001636499869976377
2,0,0,1,0,1,541057.427612856,0.96601713,0.9662782,0.0434940109252929,-43.4940109252929,-9.28241526948081e-05,26,-0.042027313,22.216351,0.001681092583506894
2,0,0,1,0,1,541057.429612852,0.96591705,0.96618283,0.0466490911483765,-46.6490911483765,-0.00011874031317234,26,-0.04507155,20.711718,0.001802862036106654
