Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non,Non,Non,Non,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ)
2025-02-03 21:09,10:00:31,CV,0.9,0.947,0,0,0,0,F,F,F,F,F,F,F,00.30,00.80,55.3,58.4,65,55.3,58.5,64.9
2025-02-03 21:09,10:00:32,CV,0.895,0.947,0,0,0,0,F,F,F,F,F,F,F,00.29,00.77,55.3,58.4,65,55.3,58.5,65
2025-02-03 21:09,10:00:33,CV,0.89,0.316,0.001,0,0,0,F,F,F,F,F,F,F,00.31,00.77,55.3,58.4,65,55.3,58.5,65
2025-02-03 21:09,10:00:34,CV,0.885,0.919,0.001,0.001,0,0,F,F,F,F,F,F,F,00.29,00.77,55.3,58.4,65,55.3,58.5,65
2025-02-03 21:09,10:00:35,CV,0.88,0.929,0.001,0.001,0,0,F,F,F,F,F,F,F,00.29,00.80,55.3,58.4,65,55.3,58.5,65
2025-02-03 21:09,10:00:36,CV,0.875,0.875,0.23,0.201,0.009,0.008,F,F,F,F,F,F,F,00.29,00.79,55.3,58.4,65,55.3,58.5,65
2025-02-03 21:09,10:00:37,CV,0.87,0.925,0.045,0.042,0.002,0.002,F,F,F,F,F,F,F,00.29,00.77,55.3,58.4,65,55.3,58.5,65
2025-02-03 21:09,10:00:38,CV,0.865,0.87,0.253,0.22,0.01,0.009,F,F,F,F,F,F,F,00.29,00.79,55.3,58.4,65,55.3,58.5,65
2025-02-03 21:09,10:00:39,CV,0.86,0.876,0.218,0.191,0.009,0.008,F,F,F,F,F,F,F,00.29,00.80,55.3,58.4,65,55.3,58.5,65
2025-02-03 21:09,10:00:40,CV,0.855,0.865,0.278,0.24,0.011,0.01,F,F,F,F,F,F,F,00.29,00.80,55.3,58.4,65,55.3,58.4,65
2025-02-03 21:09,10:00:41,CV,0.85,0.873,0.232,0.203,0.009,0.008,F,F,F,F,F,F,F,00.30,00.77,55.3,58.4,65,55.3,58.4,65
2025-02-03 21:09,10:00:42,CV,0.845,0.857,0.35,0.3,0.014,0.012,F,F,F,F,F,F,F,00.30,00.80,55.3,58.4,65,55.3,58.4,65
2025-02-03 21:09,10:00:43,CV,0.84,0.912,0.001,0.001,0,0,F,F,F,F,F,F,F,00.29,00.79,55.3,58.4,65,55.3,58.4,65.1
2025-02-03 21:09,10:00:44,CV,0.835,0.845,0.494,0.417,0.02,0.017,F,F,F,F,F,F,F,00.29,00.79,55.3,58.4,65,55.3,58.4,65.1
2025-02-03 21:09,10:00:45,CV,0.83,0.898,0.668,0.6,0.027,0.024,F,F,F,F,F,F,F,00.29,00.80,55.3,58.4,65,55.3,58.4,65.1
2025-02-03 21:09,10:00:46,CV,0.825,0.834,0.685,0.571,0.027,0.023,F,F,F,F,F,F,F,00.29,00.76,55.3,58.4,65,55.3,58.4,65.1
2025-02-03 21:09,10:00:47,CV,0.82,0.832,0.638,0.531,0.026,0.021,F,F,F,F,F,F,F,00.29,00.75,55.3,58.4,65,55.3,58.4,65.1
2025-02-03 21:09,10:00:48,CV,0.815,0.826,0.859,0.71,0.034,0.028,F,F,F,F,F,F,F,00.29,00.72,55.3,58.4,65,55.3,58.4,65.1
2025-02-03 21:09,10:00:49,CV,0.81,0.821,0.961,0.789,0.038,0.032,F,F,F,F,F,F,F,00.30,00.74,55.3,58.4,65,55.3,58.4,65
