mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),<I>/mA,Current(A),dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,0,0,0,216367.137053873,0.0,0.88048673,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216368.137054029,0.0,0.93646669,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216369.137054186,0.0,0.94648015,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216370.137054342,0.0,0.95183975,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216371.137054499,0.0,0.95517761,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216372.137054655,0.0,0.95769525,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216373.137054812,0.0,0.95962167,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216374.137054968,0.0,0.96101397,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216375.137055125,0.0,0.96213931,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216376.137055281,0.0,0.9631502,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216377.137055438,0.0,0.9637987,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216378.137055594,0.0,0.96442813,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216379.13705575,0.0,0.96521008,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216380.137055907,0.0,0.96553433,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216381.137056063,0.0,0.96576321,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216382.13705622,0.0,0.96616375,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216383.137056376,0.0,0.96635449,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216384.137056533,0.0,0.96673596,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216385.137056689,0.0,0.96679318,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216386.137056846,0.0,0.96707928,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216387.137057002,0.0,0.96719372,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216388.137057159,0.0,0.96723187,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216389.137057315,0.0,0.96732724,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216390.137057472,0.0,0.96751797,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216391.137057628,0.0,0.96746075,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216392.137057784,0.0,0.9674989,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216393.137057941,0.0,0.9674989,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216394.137058097,0.0,0.96755612,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216395.137058254,0.0,0.96753705,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,0,0,0,216396.13705841,0.0,0.96755612,0.0,0.0,-0.000350184787326388,14,0.0,0.0,0.0
3,0,0,1,0,0,216397.136858567,0.96763277,0.96812832,0.0,0.0,0.0,26,0.0,0.0,0.0
2,0,0,0,0,1,216397.138458566,0.96781808,0.96822369,-23.0623186826705,0.023062318682670502,-1.02499194145202e-05,26,-0.022329483,41.982929,0.0008931793317956469
2,0,0,0,0,1,216397.140458566,0.96771806,0.96805203,-34.7412071228027,0.0347412071228027,-2.95505887667338e-05,26,-0.033631295,27.864662,0.0013452518431951847
2,0,0,0,0,1,216397.142458566,0.96761799,0.96791852,-40.3389326095581,0.0403389326095581,-5.19611047638787e-05,26,-0.039044801,23.994648,0.0015617919979929284
