Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non,Non,Non,Non,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ),
2025-01-27 4:25,10:00:31,CV,0.9,0.96,0,0,0,0,F,F,F,F,F,F,F,00.30,00.76,55.3,58.4,65.1,55.2,59,65,0
2025-01-27 4:25,10:00:32,CV,0.895,0.96,0,0,0,0,F,F,F,F,F,F,F,00.30,00.76,55.3,58.4,65.1,55.2,59,65,0
2025-01-27 4:26,10:00:33,CV,0.89,0.523,0,0,0,0,F,F,F,F,F,F,F,00.29,00.79,55.3,58.4,65.1,55.2,59,65,0
2025-01-27 4:26,10:00:34,CV,0.885,0.933,0,0,0,0,F,F,F,F,F,F,F,00.30,00.79,55.3,58.4,65.2,55.2,59,65,0
2025-01-27 4:26,10:00:35,CV,0.88,0.937,0.571,0.535,0.023,0.021,F,F,F,F,F,F,F,00.30,00.78,55.3,58.4,65.2,55.2,59,65,0
2025-01-27 4:26,10:00:36,CV,0.875,0.883,0.302,0.267,0.012,0.011,F,F,F,F,F,F,F,00.30,00.76,55.2,58.4,65.2,55.2,59,65,0
2025-01-27 4:26,10:00:37,CV,0.87,0.925,0.411,0.38,0.016,0.015,F,F,F,F,F,F,F,00.30,00.79,55.2,58.4,65.1,55.2,59,65,0
2025-01-27 4:26,10:00:38,CV,0.865,0.924,0,0,0,0,F,F,F,F,F,F,F,00.29,00.75,55.2,58.4,65.1,55.2,59,65,0
2025-01-27 4:26,10:00:39,CV,0.86,0.87,0.401,0.349,0.016,0.014,F,F,F,F,F,F,F,00.30,00.77,55.2,58.3,65.1,55.2,59,65,0
2025-01-27 4:26,10:00:40,CV,0.855,0.924,0,0,0,0,F,F,F,F,F,F,F,00.30,00.76,55.2,58.3,65.1,55.2,58.9,65,0
2025-01-27 4:26,10:00:41,CV,0.85,0.866,0,0,0,0,F,F,F,F,F,F,F,00.30,00.77,55.2,58.3,65.1,55.2,58.9,65,0
2025-01-27 4:26,10:00:42,CV,0.845,0.855,0.631,0.54,0.025,0.022,F,F,F,F,F,F,F,00.30,00.76,55.2,58.3,65.1,55.2,58.9,65,0
2025-01-27 4:26,10:00:43,CV,0.84,0.849,0.755,0.641,0.03,0.026,F,F,F,F,F,F,F,00.29,00.78,55.2,58.3,65.1,55.2,58.9,65,0
