mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),Current(A),<I>/mA,dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,1,0,0,180293.731209765,0.0,0.8805058,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180294.731209922,0.0,0.93650484,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180295.731210078,0.0,0.94636571,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180296.731210235,0.0,0.95174438,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180297.731210391,0.0,0.95510131,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180298.731210548,0.0,0.95777154,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180299.731210704,0.0,0.95960259,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180300.73121086,0.0,0.96105212,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180301.731211017,0.0,0.96223468,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180302.731211173,0.0,0.96309298,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180303.73121133,0.0,0.96374148,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180304.731211486,0.0,0.96463794,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180305.731211643,0.0,0.96511471,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180306.731211799,0.0,0.96551526,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180307.731211956,0.0,0.96585858,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180308.731212112,0.0,0.96616375,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180309.731212269,0.0,0.966488,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180310.731212425,0.0,0.96664059,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180311.731212582,0.0,0.9668504,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180312.731212738,0.0,0.96700299,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180313.731212894,0.0,0.96704113,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180314.731213051,0.0,0.96728909,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180315.731213207,0.0,0.96717465,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180316.731213364,0.0,0.9674226,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180317.73121352,0.0,0.96736538,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180318.731213677,0.0,0.96738446,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180319.731213833,0.0,0.96734631,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180320.73121399,0.0,0.96747983,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180321.731214146,0.0,0.96753705,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,1,0,0,180322.731214303,0.0,0.9674989,0.0,0.0,-0.000350495795355902,14,0.0,0.0,0.0
3,0,0,0,0,0,180323.731014459,0.96743268,0.96812832,0.0,0.0,0.0,26,0.0,0.0,0.0
2,0,0,1,0,1,180323.732614458,0.96761799,0.96793759,0.03552997612953181,-35.5299761295318,-1.57911005020141e-05,26,-0.0343908,27.242844,0.001375631978703062
2,0,0,1,0,1,180323.734614458,0.96751797,0.96791852,0.0387613892555236,-38.7613892555236,-3.73252047962612e-05,26,-0.037517868,24.971203,0.001500714660854012
2,0,0,1,0,1,180323.736614458,0.9674179,0.96770871,0.0422726894378662,-42.2726894378662,-6.08100305663214e-05,26,-0.040907651,22.892054,0.001636305990565925
2,0,0,1,0,1,180323.738614458,0.96731782,0.96772778,0.04395200977325441,-43.9520097732544,-8.5227812078264e-05,26,-0.04253358,22.017828,0.001701343233776392
2,0,0,1,0,1,180323.740614459,0.9672178,0.96759427,0.0489390705108643,-48.9390705108643,-0.000112416182888878,26,-0.047353163,19.771406,0.001894126568217531
2,0,0,1,0,1,180323.74261446,0.96711773,0.96734631,0.0510763813018798,-51.0763813018798,-0.000140791949007246,26,-0.049408548,18.939211,0.001976341959221057
2,0,0,1,0,1,180323.744614461,0.96701765,0.96732724,0.0526539245605469,-52.6539245605469,-0.000170044126775529,26,-0.050933577,18.371418,0.002037343020812882
2,0,0,1,0,1,180323.746614462,0.96691763,0.96736538,0.05005861320495601,-50.058613204956,-0.000197854467021094,26,-0.04842497,19.324654,0.001936998775411412
2,0,0,1,0,1,180323.748614461,0.96681756,0.96719372,0.05672499580383301,-56.724995803833,-0.000229368351035647,26,-0.05486406,17.050573,0.002194562388339746
2,0,0,1,0,1,180323.750614461,0.96671748,0.96706021,0.055045679473877,-55.045679473877,-0.000259949281533559,26,-0.053232487,17.568321,0.002129299454064007
2,0,0,1,0,1,180323.75261446,0.96661747,0.96709836,0.0572847648620606,-57.2847648620606,-0.00029177415005366,26,-0.055400003,16.882296,0.002216000086043377
2,0,0,1,0,1,180323.75461446,0.96651739,0.96681225,0.0578445377349853,-57.8445377349853,-0.000323910003079308,26,-0.055924807,16.713976,0.002236992307110842
2,0,0,1,0,1,180323.756614462,0.96641737,0.96673596,0.0573865421295166,-57.3865421295166,-0.000355791414525773,26,-0.055477634,16.846039,0.002219105355866347
2,0,0,1,0,1,180323.758614462,0.9663173,0.96683133,0.05901497383117681,-59.0149738311768,-0.000388577508555518,26,-0.057057526,16.382814,0.002282301025564475
2,0,0,1,0,1,180323.760614464,0.96621722,0.96652615,0.0587605274200441,-58.7605274200441,-0.000421222244739532,26,-0.056793585,16.448561,0.002271743453570586
2,0,0,1,0,1,180323.762614464,0.9661172,0.96646893,0.0591676372528076,-59.1676372528076,-0.000454093152205149,26,-0.057183683,16.334417,0.002287347322653964
2,0,0,1,0,1,180323.764614463,0.96601713,0.96643078,0.0599818489074706,-59.9818489074706,-0.000487416400750478,26,-0.057968304,16.112055,0.002318732201019559
2,0,0,1,0,1,180323.766614463,0.96591705,0.96622097,0.0610505054473878,-61.0505054473878,-0.000521333346949683,26,-0.058988281,15.826585,0.002359531143694613
2,0,0,1,0,1,180323.768614463,0.96581703,0.96608746,0.0616102813720702,-61.6102813720702,-0.000555561278502146,26,-0.059520919,15.680621,0.002380836809625145
2,0,0,1,0,1,180323.770614463,0.96571696,0.9662019,0.0605925121307373,-60.5925121307373,-0.000589223783546023,26,-0.058544602,15.945896,0.002341784013859657
2,0,0,1,0,1,180323.772614464,0.96561688,0.96608746,0.0621191650390625,-62.1191650390625,-0.000623734428246816,26,-0.060012545,15.552164,0.002400501854796348
2,0,0,1,0,1,180323.774614465,0.96551687,0.96576321,0.0643073657989502,-64.3073657989502,-0.000659460740036434,26,-0.062105689,15.017925,0.002484227520825534
2,0,0,1,0,1,180323.776614467,0.96541679,0.96576321,0.0633404834747316,-63.3404834747316,-0.00069464989625083,26,-0.061171908,15.247171,0.00244687634574035
2,0,0,1,0,1,180323.778614466,0.96531677,0.96580136,0.0632895957946777,-63.2895957946777,-0.000729810781108008,26,-0.061125178,15.260034,0.002445007107694
2,0,0,1,0,1,180323.780614466,0.9652167,0.96547711,0.0625262699127197,-62.5262699127197,-0.00076454759645462,26,-0.060367681,15.441144,0.002414707294976503
2,0,0,1,0,1,180323.782614466,0.96511662,0.96545804,0.0622209411621094,-62.2209411621094,-0.000799114783445994,26,-0.060071707,15.516609,0.002402868316053018
2,0,0,1,0,1,180323.784614465,0.9650166,0.96543896,0.06415470352172861,-64.1547035217286,-0.000834756281163957,26,-0.061937451,15.048608,0.00247749800988504
2,0,0,1,0,1,180323.786614466,0.96491653,0.96532452,0.0637475929260253,-63.7475929260253,-0.000870171608448028,26,-0.061537113,15.142918,0.002461484581698831
2,0,0,1,0,1,180323.788614467,0.96481645,0.96507663,0.06664822959899899,-66.648229598999,-0.000907198401821984,26,-0.064320646,14.480154,0.002572825952674728
2,0,0,1,0,1,180323.790614468,0.96471643,0.96503848,0.06741155815124511,-67.4115581512451,-0.000944649264070722,26,-0.065054744,14.315623,0.002602189904508368
