mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),Current(A),<I>/mA,dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,1,0,0,36000.0501554091,0.0,0.88184094,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36001.050155411,0.0,0.93806887,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36002.0501554128,0.0,0.94735754,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36003.0501554147,0.0,0.95269805,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36004.0501554166,0.0,0.95624566,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36005.0501554184,0.0,0.95861077,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36006.0501554203,0.0,0.96038455,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36007.0501554221,0.0,0.96189135,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36008.050155424,0.0,0.96324557,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36009.0501554259,0.0,0.96402758,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36010.0501554277,0.0,0.9647333,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36011.0501554296,0.0,0.96549618,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36012.0501554315,0.0,0.96597302,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36013.0501554333,0.0,0.96633542,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36014.0501554352,0.0,0.96679318,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36015.050155437,0.0,0.96728909,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36016.0501554389,0.0,0.9674226,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36017.0501554408,0.0,0.967785,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36018.0501554426,0.0,0.96791852,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36019.0501554445,0.0,0.96810925,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36020.0501554464,0.0,0.96822369,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36021.0501554482,0.0,0.96845257,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36022.0501554501,0.0,0.96854794,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36023.0501554519,0.0,0.96862423,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36024.0501554538,0.0,0.96862423,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36025.0501554557,0.0,0.96858609,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36026.0501554575,0.0,0.96873868,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36027.0501554594,0.0,0.96892941,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36028.0501554613,0.0,0.96881497,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,1,0,0,36029.0501554631,0.0,0.9690057,0.0,0.0,-0.000350213080512152,14,0.0,0.0,0.0
3,0,0,0,0,0,36030.049955465,0.96883345,0.96946347,0.0,0.0,0.0,26,0.0,0.0,0.0
2,0,0,1,0,1,36030.051555465,0.96901876,0.96919644,0.0341941535472869,-34.1941535472869,-1.51974015765719e-05,26,-0.033140853,28.343922,0.0013256340754737536
2,0,0,1,0,1,36030.053555465,0.96891868,0.96932995,0.040440709495544507,-40.4407094955445,-3.76644602881537e-05,26,-0.039200392,23.969162,0.0015680156365312273
2,0,0,1,0,1,36030.0555554651,0.96881866,0.96919644,0.043290456390380795,-43.2904563903808,-6.17147134145101e-05,26,-0.041956957,22.388224,0.0016782782487812927
2,0,0,1,0,1,36030.057555465,0.96871859,0.9690057,0.0456313243865966,-45.6313243865966,-8.7065448337131e-05,26,-0.044217013,21.235538,0.0017686805371664443
2,0,0,1,0,1,36030.059555465,0.96861851,0.96913922,0.0482775192260742,-48.2775192260742,-0.000113886291503906,26,-0.046787638,20.074337,0.001871505493051702
2,0,0,1,0,1,36030.0615554651,0.9685185,0.96889126,0.049091735458374,-49.091735458374,-0.000141159476174248,26,-0.047564555,19.736341,0.0019025821369540266
2,0,0,1,0,1,36030.063555465,0.96841842,0.96885312,0.051076383209228506,-51.0763832092285,-0.000169535243352254,26,-0.049485512,18.96871,0.001979420529223066
