Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non.1,Non.2,Non.3,Non.4,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ),Cell (V) 1
2025-01-22 13:42:09,10:00:31,CV,0.9,0.967,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.76,55.4,58.3,65.0,55.3,58.4,64.9,0.0
2025-01-22 13:42:10,10:00:32,CV,0.895,0.967,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,65.0,55.3,58.4,65.0,0.0
2025-01-22 13:42:11,10:00:33,CV,0.89,0.525,32.58,17.105,1.303,0.684,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65.0,55.3,58.4,65.0,0.0
2025-01-22 13:42:12,10:00:34,CV,0.885,0.937,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.77,55.4,58.3,65.0,55.3,58.4,65.0,0.0
2025-01-22 13:42:13,10:00:35,CV,0.88,0.943,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.77,55.4,58.3,65.0,55.3,58.4,65.0,0.0
2025-01-22 13:42:14,10:00:36,CV,0.875,0.946,0.422,0.399,0.017,0.016,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,65.0,55.3,58.4,65.0,0.0
2025-01-22 13:42:15,10:00:37,CV,0.87,0.93,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.28,0.77,55.4,58.3,65.0,55.3,58.4,65.0,0.0
2025-01-22 13:42:16,10:00:38,CV,0.865,0.89,0.459,0.409,0.018,0.016,F,F,F,F,F,F,F,0.3,0.78,55.4,58.2,65.0,55.3,58.4,65.0,0.0
2025-01-22 13:42:17,10:00:39,CV,0.86,0.929,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.8,55.4,58.2,64.9,55.3,58.4,65.0,0.0
2025-01-22 13:42:18,10:00:40,CV,0.855,0.864,0.637,0.55,0.025,0.022,F,F,F,F,F,F,F,0.29,0.78,55.4,58.2,64.9,55.3,58.4,65.0,0.0
2025-01-22 13:42:19,10:00:41,CV,0.85,0.852,0.807,0.688,0.032,0.028,F,F,F,F,F,F,F,0.29,0.75,55.4,58.2,65.0,55.3,58.4,65.0,0.0
2025-01-22 13:42:20,10:00:42,CV,0.845,0.915,0.84,0.769,0.034,0.031,F,F,F,F,F,F,F,0.29,0.78,55.4,58.2,65.0,55.3,58.4,65.0,0.0
2025-01-22 13:42:21,10:00:43,CV,0.84,0.862,0.668,0.576,0.027,0.023,F,F,F,F,F,F,F,0.3,0.75,55.4,58.2,65.0,55.3,58.4,65.0,0.0
2025-01-22 13:42:22,10:00:44,CV,0.835,0.851,0.992,0.844,0.04,0.034,F,F,F,F,F,F,F,0.29,0.78,55.4,58.2,64.9,55.3,58.4,65.0,0.0
2025-01-22 13:42:23,10:00:45,CV,0.83,0.84,1.217,1.022,0.049,0.041,F,F,F,F,F,F,F,0.3,0.78,55.4,58.2,64.9,55.3,58.3,65.0,0.0
2025-01-22 13:42:24,10:00:46,CV,0.825,0.835,1.418,1.184,0.057,0.047,F,F,F,F,F,F,F,0.29,0.76,55.4,58.2,64.9,55.3,58.3,65.0,0.0
2025-01-22 13:42:25,10:00:47,CV,0.82,0.837,1.327,1.111,0.053,0.044,F,F,F,F,F,F,F,0.3,0.76,55.4,58.2,64.9,55.3,58.3,65.0,0.0
2025-01-22 13:42:26,10:00:48,CV,0.815,0.85,0.956,0.813,0.038,0.033,F,F,F,F,F,F,F,0.31,0.73,55.4,58.2,64.9,55.3,58.3,65.0,0.0
2025-01-22 13:42:27,10:00:49,CV,0.81,0.834,1.455,1.213,0.058,0.049,F,F,F,F,F,F,F,0.29,0.73,55.4,58.2,64.9,55.3,58.3,65.0,0.0
2025-01-22 13:42:28,10:00:50,CV,0.805,0.838,1.578,1.322,0.063,0.053,F,F,F,F,F,F,F,0.3,0.77,55.4,58.2,64.9,55.3,58.3,65.0,0.0
2025-01-22 13:42:29,10:00:51,CV,0.8,0.811,2.617,2.122,0.105,0.085,F,F,F,F,F,F,F,0.31,0.79,55.4,58.2,64.9,55.3,58.3,65.1,0.0
2025-01-22 13:42:30,10:00:52,CV,0.795,0.828,2.9,2.401,0.116,0.096,F,F,F,F,F,F,F,0.28,0.75,55.3,58.2,64.9,55.3,58.3,65.1,0.0
2025-01-22 13:42:31,10:00:53,CV,0.79,0.823,2.038,1.677,0.082,0.067,F,F,F,F,F,F,F,0.3,0.77,55.3,58.2,65.0,55.3,58.3,65.1,0.0
2025-01-22 13:42:32,10:00:54,CV,0.785,0.816,2.327,1.899,0.093,0.076,F,F,F,F,F,F,F,0.3,0.76,55.3,58.2,65.0,55.3,58.3,65.1,0.0
2025-01-22 13:42:33,10:00:55,CV,0.78,0.833,1.747,1.455,0.07,0.058,F,F,F,F,F,F,F,0.29,0.75,55.3,58.2,65.0,55.3,58.3,65.1,0.0
2025-01-22 13:42:34,10:00:56,CV,0.775,0.795,3.113,2.475,0.125,0.099,F,F,F,F,F,F,F,0.28,0.75,55.3,58.2,65.0,55.3,58.3,65.1,0.0
2025-01-22 13:42:35,10:00:57,CV,0.77,0.781,4.854,3.791,0.194,0.152,F,F,F,F,F,F,F,0.29,0.75,55.3,58.2,65.0,55.3,58.3,65.0,0.0
2025-01-22 13:42:36,10:00:58,CV,0.765,0.788,3.828,3.016,0.153,0.121,F,F,F,F,F,F,F,0.29,0.78,55.3,58.2,64.9,55.3,58.3,65.0,0.0
2025-01-22 13:42:37,10:00:59,CV,0.76,0.77,5.993,4.615,0.24,0.185,F,F,F,F,F,F,F,0.3,0.79,55.3,58.2,64.9,55.3,58.3,65.0,0.0
2025-01-22 13:42:38,10:01:00,CV,0.755,0.793,4.158,3.297,0.166,0.132,F,F,F,F,F,F,F,0.3,0.76,55.4,58.2,64.9,55.3,58.3,65.0,0.0
2025-01-22 13:42:39,10:01:01,CV,0.75,0.76,7.057,5.363,0.282,0.215,F,F,F,F,F,F,F,0.3,0.79,55.4,58.2,65.0,55.3,58.3,65.0,0.0
2025-01-22 13:42:40,10:01:02,CV,0.745,0.784,4.986,3.909,0.199,0.156,F,F,F,F,F,F,F,0.3,0.76,55.4,58.2,65.0,55.3,58.4,65.0,0.0
2025-01-22 13:42:41,10:01:03,CV,0.74,0.778,8.176,6.361,0.327,0.254,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,65.0,55.3,58.4,65.0,0.0
2025-01-22 13:42:42,10:01:04,CV,0.735,0.776,6.491,5.037,0.26,0.201,F,F,F,F,F,F,F,0.29,0.83,55.4,58.3,65.0,55.3,58.4,65.0,0.0
2025-01-22 13:42:43,10:01:05,CV,0.73,0.74,9.26,6.852,0.37,0.274,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65.0,55.3,58.4,65.0,0.0
2025-01-22 13:42:44,10:01:06,CV,0.725,0.768,6.674,5.126,0.267,0.205,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,64.9,55.3,58.4,65.0,0.0
2025-01-22 13:42:45,10:01:07,CV,0.72,0.764,7.196,5.498,0.288,0.22,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,64.9,55.3,58.4,65.0,0.0
2025-01-22 13:42:46,10:01:08,CV,0.715,0.739,9.507,7.026,0.38,0.281,F,F,F,F,F,F,F,0.3,0.75,55.4,58.3,64.9,55.3,58.4,65.0,0.0
2025-01-22 13:42:47,10:01:09,CV,0.71,0.721,11.67,8.414,0.467,0.337,F,F,F,F,F,F,F,0.29,0.76,55.4,58.3,64.9,55.3,58.4,65.0,0.0
2025-01-22 13:42:48,10:01:10,CV,0.705,0.733,9.352,6.855,0.374,0.274,F,F,F,F,F,F,F,0.3,0.79,55.4,58.3,64.9,55.3,58.4,65.0,0.0
2025-01-22 13:42:49,10:01:11,CV,0.7,0.71,13.0,9.23,0.52,0.369,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,64.9,55.3,58.4,65.0,0.0
