Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non.1,Non.2,Non.3,Non.4,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ),Cell (V) 1
2025-01-22 23:45:27,10:00:31,CV,0.9,0.966,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.8,55.6,58.2,65.0,55.3,58.2,65.0,0.0
2025-01-22 23:45:28,10:00:32,CV,0.895,0.966,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.77,55.6,58.2,65.0,55.3,58.2,65.0,0.0
2025-01-22 23:45:29,10:00:33,CV,0.89,0.305,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.76,55.6,58.2,65.0,55.3,58.3,65.0,0.0
2025-01-22 23:45:30,10:00:34,CV,0.885,0.935,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.77,55.6,58.2,65.0,55.3,58.3,65.0,0.0
2025-01-22 23:45:31,10:00:35,CV,0.88,0.945,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.8,55.6,58.2,65.1,55.3,58.3,65.0,0.0
2025-01-22 23:45:32,10:00:36,CV,0.875,0.882,0.421,0.371,0.017,0.015,F,F,F,F,F,F,F,0.29,0.79,55.6,58.2,65.1,55.3,58.3,65.0,0.0
2025-01-22 23:45:33,10:00:37,CV,0.87,0.929,0.344,0.32,0.014,0.013,F,F,F,F,F,F,F,0.29,0.79,55.6,58.2,65.1,55.3,58.3,65.0,0.0
2025-01-22 23:45:34,10:00:38,CV,0.865,0.876,0.455,0.399,0.018,0.016,F,F,F,F,F,F,F,0.3,0.75,55.6,58.2,65.1,55.4,58.3,65.0,0.0
2025-01-22 23:45:35,10:00:39,CV,0.86,0.929,0.551,0.512,0.022,0.02,F,F,F,F,F,F,F,0.29,0.75,55.6,58.2,65.1,55.4,58.3,65.0,0.0
2025-01-22 23:45:36,10:00:40,CV,0.855,0.921,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.77,55.7,58.2,65.1,55.4,58.3,65.0,0.0
2025-01-22 23:45:37,10:00:41,CV,0.85,0.915,0.825,0.755,0.033,0.03,F,F,F,F,F,F,F,0.3,0.76,55.7,58.2,65.0,55.4,58.3,65.0,0.0
2025-01-22 23:45:38,10:00:42,CV,0.845,0.854,0.835,0.713,0.033,0.029,F,F,F,F,F,F,F,0.29,0.82,55.7,58.2,65.0,55.4,58.3,65.0,0.0
2025-01-22 23:45:39,10:00:43,CV,0.84,0.861,0.807,0.695,0.032,0.028,F,F,F,F,F,F,F,0.3,0.79,55.7,58.2,65.0,55.4,58.3,65.0,0.0
2025-01-22 23:45:40,10:00:44,CV,0.835,0.846,1.025,0.867,0.041,0.035,F,F,F,F,F,F,F,0.3,0.77,55.7,58.2,65.0,55.3,58.3,65.0,0.0
2025-01-22 23:45:41,10:00:45,CV,0.83,0.852,1.116,0.951,0.045,0.038,F,F,F,F,F,F,F,0.3,0.77,55.7,58.2,65.0,55.3,58.3,65.0,0.0
2025-01-22 23:45:42,10:00:46,CV,0.825,0.836,1.394,1.165,0.056,0.047,F,F,F,F,F,F,F,0.3,0.79,55.7,58.2,65.0,55.3,58.3,65.0,0.0
2025-01-22 23:45:43,10:00:47,CV,0.82,0.837,0.955,0.799,0.038,0.032,F,F,F,F,F,F,F,0.3,0.79,55.7,58.2,65.0,55.3,58.5,65.0,0.0
