Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non.1,Non.2,Non.3,Non.4,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ)
2025-01-31 06:51:20,10:00:31,CV,0.9,0.957,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.81,55.4,58.3,65.0,55.3,58.0,64.9
2025-01-31 06:51:21,10:00:32,CV,0.895,0.957,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,65.0,55.3,58.1,65.0
2025-01-31 06:51:22,10:00:33,CV,0.89,0.318,37.12,11.804,1.485,0.472,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65.0,55.3,58.1,65.0
2025-01-31 06:51:23,10:00:34,CV,0.885,0.928,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.75,55.4,58.3,65.0,55.3,58.1,65.0
2025-01-31 06:51:24,10:00:35,CV,0.88,0.936,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.28,0.77,55.4,58.3,65.0,55.3,58.1,65.0
2025-01-31 06:51:25,10:00:36,CV,0.875,0.94,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.77,55.4,58.3,65.0,55.3,58.1,65.0
2025-01-31 06:51:26,10:00:37,CV,0.87,0.872,0.365,0.318,0.015,0.013,F,F,F,F,F,F,F,0.3,0.74,55.4,58.3,65.0,55.3,58.2,65.0
2025-01-31 06:51:27,10:00:38,CV,0.865,0.922,0.413,0.381,0.017,0.015,F,F,F,F,F,F,F,0.3,0.76,55.4,58.3,65.0,55.3,58.2,65.0
2025-01-31 06:51:28,10:00:39,CV,0.86,0.921,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.76,55.4,58.3,65.0,55.3,58.2,65.0
2025-01-31 06:51:29,10:00:40,CV,0.855,0.865,0.395,0.342,0.016,0.014,F,F,F,F,F,F,F,0.3,0.76,55.4,58.3,65.0,55.3,58.2,65.0
2025-01-31 06:51:30,10:00:41,CV,0.85,0.921,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,65.0,55.3,58.2,65.0
2025-01-31 06:51:31,10:00:42,CV,0.845,0.847,0.574,0.486,0.023,0.019,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,65.0,55.3,58.2,65.0
2025-01-31 06:51:32,10:00:43,CV,0.84,0.849,0.646,0.548,0.026,0.022,F,F,F,F,F,F,F,0.31,0.78,55.4,58.3,65.0,55.3,58.3,65.0
2025-01-31 06:51:33,10:00:44,CV,0.835,0.838,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65.0,55.3,58.3,65.0
2025-01-31 06:51:34,10:00:45,CV,0.83,0.842,0.774,0.652,0.031,0.026,F,F,F,F,F,F,F,0.29,0.75,55.4,58.3,65.0,55.3,58.3,65.0
2025-01-31 06:51:35,10:00:46,CV,0.825,0.85,0.001,0.001,0.0,0.0,F,F,F,F,F,F,F,0.31,0.76,55.4,58.3,65.0,55.3,58.4,64.9
2025-01-31 06:51:36,10:00:47,CV,0.82,0.83,1.066,0.885,0.043,0.035,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,65.0,55.3,58.4,64.9
2025-01-31 06:51:37,10:00:48,CV,0.815,0.833,0.783,0.652,0.031,0.026,F,F,F,F,F,F,F,0.31,0.78,55.4,58.3,65.0,55.3,58.5,64.9
2025-01-31 06:51:38,10:00:49,CV,0.81,0.821,1.347,1.106,0.054,0.044,F,F,F,F,F,F,F,0.28,0.76,55.4,58.3,65.0,55.3,58.5,64.9
2025-01-31 06:51:39,10:00:50,CV,0.805,0.839,1.544,1.295,0.062,0.052,F,F,F,F,F,F,F,0.29,0.81,55.4,58.3,65.0,55.3,58.5,64.9
2025-01-31 06:51:40,10:00:51,CV,0.8,0.837,0.937,0.784,0.037,0.031,F,F,F,F,F,F,F,0.3,0.8,55.4,58.3,65.0,55.3,58.5,64.9
2025-01-31 06:51:41,10:00:52,CV,0.795,0.806,2.028,1.635,0.081,0.065,F,F,F,F,F,F,F,0.29,0.77,55.3,58.3,65.0,55.3,58.5,64.9
2025-01-31 06:51:42,10:00:53,CV,0.79,0.823,1.358,1.118,0.054,0.045,F,F,F,F,F,F,F,0.31,0.77,55.3,58.4,65.0,55.3,58.5,64.9
2025-01-31 06:51:43,10:00:54,CV,0.785,0.815,1.824,1.487,0.073,0.059,F,F,F,F,F,F,F,0.29,0.76,55.3,58.4,65.0,55.3,58.5,64.9
2025-01-31 06:51:44,10:00:55,CV,0.78,0.791,2.84,2.246,0.114,0.09,F,F,F,F,F,F,F,0.29,0.75,55.3,58.4,65.0,55.3,58.5,64.9
2025-01-31 06:51:45,10:00:56,CV,0.775,0.785,3.255,2.555,0.13,0.102,F,F,F,F,F,F,F,0.3,0.76,55.3,58.4,65.0,55.3,58.5,64.9
2025-01-31 06:51:46,10:00:57,CV,0.77,0.792,2.864,2.268,0.115,0.091,F,F,F,F,F,F,F,0.29,0.78,55.3,58.4,65.0,55.3,58.7,65.0
2025-01-31 06:51:47,10:00:58,CV,0.765,0.777,3.79,2.945,0.152,0.118,F,F,F,F,F,F,F,0.29,0.73,55.3,58.4,65.0,55.3,58.7,65.0
2025-01-31 06:51:48,10:00:59,CV,0.76,0.782,3.513,2.747,0.141,0.11,F,F,F,F,F,F,F,0.3,0.78,55.3,58.4,65.0,55.3,58.7,65.0
2025-01-31 06:51:49,10:01:00,CV,0.755,0.777,3.427,2.663,0.137,0.107,F,F,F,F,F,F,F,0.29,0.74,55.4,58.4,65.0,55.3,58.7,65.0
2025-01-31 06:51:50,10:01:01,CV,0.75,0.76,5.22,3.967,0.209,0.159,F,F,F,F,F,F,F,0.29,0.79,55.4,58.4,65.0,55.3,58.7,65.0
2025-01-31 06:51:51,10:01:02,CV,0.745,0.781,4.2,3.28,0.168,0.131,F,F,F,F,F,F,F,0.3,0.77,55.4,58.4,65.0,55.3,58.8,65.0
