mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),<I>/mA,Current(A),dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,1,0,0,649247.404615838,0.0,0.87749225,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649248.404614616,0.0,0.93413979,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649249.404613394,0.0,0.9441914,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649250.404612172,0.0,0.94951284,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649251.40461095,0.0,0.95298415,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649252.404609728,0.0,0.95574975,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649253.404608506,0.0,0.95754266,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649254.404607284,0.0,0.9591639,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649255.404606062,0.0,0.96009851,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649256.404604841,0.0,0.96105212,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649257.404603619,0.0,0.96170062,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649258.404602397,0.0,0.96242541,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649259.404601175,0.0,0.96313113,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649260.404599953,0.0,0.96347445,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649261.404598731,0.0,0.96389407,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649262.404597509,0.0,0.96404666,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649263.404596287,0.0,0.96425647,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649264.404595065,0.0,0.96456164,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649265.404593844,0.0,0.9647333,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649266.404592622,0.0,0.96490496,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649267.4045914,0.0,0.96484774,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649268.404590178,0.0,0.96490496,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649269.404588956,0.0,0.96511471,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649270.404587734,0.0,0.96522915,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649271.404586512,0.0,0.96505755,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649272.40458529,0.0,0.96522915,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649273.404584068,0.0,0.96532452,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649274.404582846,0.0,0.96528637,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649275.404581625,0.0,0.96522915,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,1,0,0,649276.404580403,0.0,0.96517193,0.0,0.0,-0.000352531331380208,14,0.0,0.0,0.0
3,0,0,0,0,0,649277.404379181,0.96523148,0.96576321,0.0,0.0,0.0,26,0.0,0.0,0.0
