Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non,Non,Non,Non,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ)
2025-02-03 1:02,10:00:31,CV,0.9,0.948,0,0,0,0,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,64.9,55.3,58.5,64.9
2025-02-03 1:02,10:00:32,CV,0.895,0.948,0,0,0,0,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,64.9,55.3,58.5,65
2025-02-03 1:02,10:00:33,CV,0.89,0.475,26.65,12.659,1.066,0.506,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,64.9,55.3,58.5,65
2025-02-03 1:02,10:00:34,CV,0.885,0.903,0,0,0,0,F,F,F,F,F,F,F,0.3,0.76,55.4,58.3,65,55.3,58.5,65
2025-02-03 1:02,10:00:35,CV,0.88,0.927,0,0,0,0,F,F,F,F,F,F,F,0.29,0.73,55.4,58.3,65,55.3,58.5,65
2025-02-03 1:02,10:00:36,CV,0.875,0.931,0,0,0,0,F,F,F,F,F,F,F,0.3,0.76,55.4,58.3,65,55.3,58.5,65
2025-02-03 1:02,10:00:37,CV,0.87,0.92,0,0,0,0,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,65,55.3,58.5,65
2025-02-03 1:02,10:00:38,CV,0.865,0.927,0,0,0,0,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65,55.3,58.5,65
2025-02-03 1:02,10:00:39,CV,0.86,0.914,0,0,0,0,F,F,F,F,F,F,F,0.29,0.76,55.4,58.3,65,55.3,58.5,65
2025-02-03 1:03,10:00:40,CV,0.855,0.854,0.284,0.243,0.011,0.01,F,F,F,F,F,F,F,0.29,0.77,55.4,58.3,65,55.3,58.5,65.1
2025-02-03 1:03,10:00:41,CV,0.85,0.912,0,0,0,0,F,F,F,F,F,F,F,0.3,0.8,55.4,58.3,65,55.3,58.5,65.1
2025-02-03 1:03,10:00:42,CV,0.845,0.865,0.285,0.247,0.011,0.01,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,65,55.3,58.5,65.1
2025-02-03 1:03,10:00:43,CV,0.84,0.852,0.416,0.354,0.017,0.014,F,F,F,F,F,F,F,0.3,0.79,55.4,58.3,65,55.3,58.5,65.1
2025-02-03 1:03,10:00:44,CV,0.835,0.91,0,0,0,0,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,65,55.3,58.5,65.1
2025-02-03 1:03,10:00:45,CV,0.83,0.846,0.634,0.536,0.025,0.021,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,65,55.3,58.5,65.1
2025-02-03 1:03,10:00:46,CV,0.825,0.832,0.728,0.606,0.029,0.024,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65,55.3,58.5,65.1
2025-02-03 1:03,10:00:47,CV,0.82,0.835,1.021,0.853,0.041,0.034,F,F,F,F,F,F,F,0.3,0.81,55.4,58.3,65,55.3,58.5,65.1
2025-02-03 1:03,10:00:48,CV,0.815,0.831,0.722,0.6,0.029,0.024,F,F,F,F,F,F,F,0.3,0.74,55.4,58.3,65,55.3,58.5,65.1
2025-02-03 1:03,10:00:49,CV,0.81,0.82,1.027,0.842,0.041,0.034,F,F,F,F,F,F,F,0.28,0.73,55.5,58.3,65,55.3,58.5,65.1
2025-02-03 1:03,10:00:50,CV,0.805,0.821,1.003,0.823,0.04,0.033,F,F,F,F,F,F,F,0.29,0.79,55.5,58.3,65,55.3,58.5,65.1
