mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),<I>/mA,Current(A),dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,0,0,0,1010959.6692406,0.0,0.81418812,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010960.66923938,0.0,0.91008842,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010961.66923816,0.0,0.9208076,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010962.66923693,0.0,0.92637694,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010963.66923571,0.0,0.92998183,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010964.66923449,0.0,0.93263298,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010965.66923327,0.0,0.93429238,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010966.66923205,0.0,0.93555123,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010967.66923083,0.0,0.93660021,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010968.6692296,0.0,0.93763018,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010969.66922838,0.0,0.93837404,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010970.66922716,0.0,0.93873644,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010971.66922594,0.0,0.93928957,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010972.66922472,0.0,0.9395566,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010973.66922349,0.0,0.93970919,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010974.66922227,0.0,0.93988085,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010975.66922105,0.0,0.94010973,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010976.66921983,0.0,0.94041491,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010977.66921861,0.0,0.94037676,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010978.66921738,0.0,0.94064379,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010979.66921616,0.0,0.94058657,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010980.66921494,0.0,0.94043398,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010981.66921372,0.0,0.94054842,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010982.6692125,0.0,0.94051027,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010983.66921128,0.0,0.94060564,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010984.66921005,0.0,0.94051027,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010985.66920883,0.0,0.94035769,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010986.66920761,0.0,0.9402051,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010987.66920639,0.0,0.94047213,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,0,0,0,1010988.66920517,0.0,0.94028139,0.0,0.0,-0.00326083138020833,14,0.0,0.0,0.0
3,0,0,1,0,0,1010989.66900394,0.940418,0.94104427,0.0,0.0,0.0,26,0.0,0.0,0.0
2,1,0,1,0,1,1010989.67040394,0.94060332,0.94119686,13.6681937149592,-0.0136681937149592,5.31540845500098e-06,26,0.012864461,68.860367,-0.0005145784402556533
2,0,0,1,0,1,1010989.67240394,0.94050324,0.94098705,-5.1750510931015,0.0051750510931014996,2.44038033485412e-06,26,-0.0048696562,181.83145,0.00019478624246787424
2,0,0,1,0,1,1010989.67440393,0.94040316,0.9409489,-13.4698585987091,0.013469858598709101,-5.04287423027886e-06,26,-0.012674449,69.855888,0.0005069779452644348
2,0,0,1,0,1,1010989.67640393,0.94030315,0.94079638,-20.5433444976806,0.0205433444976806,-1.64558431837293e-05,26,-0.019327104,45.795677,0.000773084165460433
