Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non.1,Non.2,Non.3,Non.4,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ)
2025-01-29 14:37:53,10:00:31,CV,0.9,0.958,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.77,55.4,58.2,65.1,55.4,58.3,65.0
2025-01-29 14:37:54,10:00:32,CV,0.895,0.958,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.74,55.4,58.2,65.1,55.4,58.3,65.0
2025-01-29 14:37:55,10:00:33,CV,0.89,0.519,30.54,15.85,1.222,0.634,F,F,F,F,F,F,F,0.3,0.77,55.4,58.2,65.1,55.4,58.3,65.0
2025-01-29 14:37:56,10:00:34,CV,0.885,0.913,0.001,0.001,0.0,0.0,F,F,F,F,F,F,F,0.3,0.75,55.4,58.2,65.1,55.4,58.3,65.0
2025-01-29 14:37:57,10:00:35,CV,0.88,0.936,0.002,0.002,0.0,0.0,F,F,F,F,F,F,F,0.3,0.79,55.4,58.2,65.1,55.4,58.2,65.0
2025-01-29 14:37:58,10:00:36,CV,0.875,0.941,0.003,0.003,0.0,0.0,F,F,F,F,F,F,F,0.3,0.77,55.4,58.2,65.1,55.4,58.2,65.0
2025-01-29 14:37:59,10:00:37,CV,0.87,0.927,0.002,0.002,0.0,0.0,F,F,F,F,F,F,F,0.31,0.76,55.4,58.3,65.0,55.4,58.2,65.0
2025-01-29 14:38:00,10:00:38,CV,0.865,0.89,0.258,0.23,0.01,0.009,F,F,F,F,F,F,F,0.31,0.77,55.4,58.3,65.0,55.4,58.1,65.0
2025-01-29 14:38:01,10:00:39,CV,0.86,0.876,0.002,0.002,0.0,0.0,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,65.0,55.4,58.1,65.0
2025-01-29 14:38:02,10:00:40,CV,0.855,0.923,0.002,0.002,0.0,0.0,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,65.0,55.4,58.1,65.0
2025-01-29 14:38:03,10:00:41,CV,0.85,0.865,0.984,0.851,0.039,0.034,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,65.0,55.4,58.1,65.0
2025-01-29 14:38:04,10:00:42,CV,0.845,0.923,0.023,0.021,0.001,0.001,F,F,F,F,F,F,F,0.29,0.8,55.4,58.3,65.0,55.4,58.1,65.0
2025-01-29 14:38:05,10:00:43,CV,0.84,0.85,0.643,0.547,0.026,0.022,F,F,F,F,F,F,F,0.3,0.76,55.4,58.3,65.0,55.4,58.0,65.0
2025-01-29 14:38:06,10:00:44,CV,0.835,0.897,1.063,0.954,0.043,0.038,F,F,F,F,F,F,F,0.3,0.76,55.4,58.3,65.0,55.4,58.0,65.0
2025-01-29 14:38:07,10:00:45,CV,0.83,0.845,1.041,0.88,0.042,0.035,F,F,F,F,F,F,F,0.31,0.77,55.4,58.3,65.0,55.4,58.0,65.0
2025-01-29 14:38:08,10:00:46,CV,0.825,0.84,0.804,0.675,0.032,0.027,F,F,F,F,F,F,F,0.3,0.79,55.4,58.3,65.0,55.4,58.0,65.0
2025-01-29 14:38:09,10:00:47,CV,0.82,0.835,0.817,0.682,0.033,0.027,F,F,F,F,F,F,F,0.29,0.77,55.4,58.3,65.0,55.4,58.0,65.0
2025-01-29 14:38:10,10:00:48,CV,0.815,0.838,0.895,0.75,0.036,0.03,F,F,F,F,F,F,F,0.29,0.75,55.4,58.3,65.0,55.4,58.0,65.0
2025-01-29 14:38:11,10:00:49,CV,0.81,0.821,1.439,1.181,0.058,0.047,F,F,F,F,F,F,F,0.31,0.79,55.4,58.3,65.0,55.3,57.9,65.0
2025-01-29 14:38:12,10:00:50,CV,0.805,0.84,0.887,0.745,0.035,0.03,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,65.0,55.3,57.9,65.0
2025-01-29 14:38:13,10:00:51,CV,0.8,0.832,1.854,1.543,0.074,0.062,F,F,F,F,F,F,F,0.29,0.77,55.4,58.3,65.0,55.3,57.9,65.0
2025-01-29 14:38:14,10:00:52,CV,0.795,0.818,1.559,1.275,0.062,0.051,F,F,F,F,F,F,F,0.3,0.75,55.4,58.3,65.0,55.3,57.9,65.0
2025-01-29 14:38:15,10:00:53,CV,0.79,0.821,1.467,1.204,0.059,0.048,F,F,F,F,F,F,F,0.29,0.74,55.4,58.3,65.0,55.3,57.9,65.0
2025-01-29 14:38:16,10:00:54,CV,0.785,0.801,2.075,1.662,0.083,0.066,F,F,F,F,F,F,F,0.3,0.79,55.4,58.3,65.0,55.3,57.9,65.0
2025-01-29 14:38:17,10:00:55,CV,0.78,0.811,2.945,2.388,0.118,0.096,F,F,F,F,F,F,F,0.29,0.77,55.4,58.3,65.0,55.3,57.9,65.0
2025-01-29 14:38:18,10:00:56,CV,0.775,0.807,2.124,1.714,0.085,0.069,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,65.0,55.3,57.9,65.0
2025-01-29 14:38:19,10:00:57,CV,0.77,0.801,2.389,1.914,0.096,0.077,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65.0,55.4,58.0,65.0
2025-01-29 14:38:20,10:00:58,CV,0.765,0.798,2.659,2.122,0.106,0.085,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65.0,55.4,58.0,64.9
2025-01-29 14:38:21,10:00:59,CV,0.76,0.792,4.446,3.521,0.178,0.141,F,F,F,F,F,F,F,0.29,0.76,55.4,58.3,65.0,55.4,58.0,64.9
2025-01-29 14:38:22,10:01:00,CV,0.755,0.79,3.208,2.534,0.128,0.101,F,F,F,F,F,F,F,0.29,0.76,55.4,58.3,65.0,55.4,58.0,64.9
2025-01-29 14:38:23,10:01:01,CV,0.75,0.771,5.382,4.15,0.215,0.166,F,F,F,F,F,F,F,0.3,0.76,55.4,58.3,65.0,55.4,58.0,64.9
2025-01-29 14:38:24,10:01:02,CV,0.745,0.781,3.898,3.044,0.156,0.122,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,65.0,55.4,58.0,64.9
2025-01-29 14:38:25,10:01:03,CV,0.74,0.762,5.212,3.972,0.208,0.159,F,F,F,F,F,F,F,0.29,0.77,55.4,58.3,65.0,55.4,58.1,64.9
