Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non.1,Non.2,Non.3,Non.4,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ)
2025-01-30 00:41:02,10:00:31,CV,0.9,0.958,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.76,55.4,58.4,65.0,55.4,58.9,65.0
2025-01-30 00:41:03,10:00:32,CV,0.895,0.958,37.29,35.724,1.492,1.429,F,F,F,F,F,F,F,0.29,0.79,55.4,58.4,65.0,55.4,58.9,65.0
2025-01-30 00:41:04,10:00:33,CV,0.89,0.317,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.75,55.4,58.4,65.0,55.4,58.9,65.0
2025-01-30 00:41:05,10:00:34,CV,0.885,0.936,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.75,55.4,58.4,65.0,55.4,58.9,65.0
2025-01-30 00:41:06,10:00:35,CV,0.88,0.94,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.77,55.4,58.4,65.0,55.4,58.9,65.0
2025-01-30 00:41:07,10:00:36,CV,0.875,0.879,0.332,0.292,0.013,0.012,F,F,F,F,F,F,F,0.3,0.74,55.4,58.4,65.0,55.4,58.9,65.0
2025-01-30 00:41:08,10:00:37,CV,0.87,0.867,0.866,0.751,0.035,0.03,F,F,F,F,F,F,F,0.29,0.75,55.4,58.4,65.0,55.4,58.9,65.0
2025-01-30 00:41:09,10:00:38,CV,0.865,0.875,0.325,0.284,0.013,0.011,F,F,F,F,F,F,F,0.3,0.78,55.4,58.4,65.0,55.4,58.9,65.0
2025-01-30 00:41:10,10:00:39,CV,0.86,0.928,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.78,55.4,58.4,65.0,55.4,58.9,65.0
2025-01-30 00:41:11,10:00:40,CV,0.855,0.855,0.959,0.82,0.038,0.033,F,F,F,F,F,F,F,0.28,0.79,55.4,58.4,65.0,55.4,58.9,65.0
2025-01-30 00:41:12,10:00:41,CV,0.85,0.855,0.035,0.03,0.001,0.001,F,F,F,F,F,F,F,0.29,0.78,55.4,58.4,65.0,55.4,58.9,65.0
