Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non,Non,Non,Non,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ)
2025-02-01 2:57,10:00:31,CV,0.9,0.956,0,0,0,0,F,F,F,F,F,F,F,0.29,0.78,55.3,58.4,65,55.4,59.2,65.1
2025-02-01 2:57,10:00:32,CV,0.895,0.956,0,0,0,0,F,F,F,F,F,F,F,0.31,0.79,55.3,58.4,65,55.4,59.3,65.1
2025-02-01 2:57,10:00:33,CV,0.89,0.955,0.001,0.001,0,0,F,F,F,F,F,F,F,0.29,0.79,55.3,58.4,65,55.4,59.3,65.1
2025-02-01 2:57,10:00:34,CV,0.885,0.912,0.001,0.001,0,0,F,F,F,F,F,F,F,0.3,0.77,55.3,58.4,65,55.4,59.3,65.1
2025-02-01 2:57,10:00:35,CV,0.88,0.936,0.001,0.001,0,0,F,F,F,F,F,F,F,0.3,0.77,55.3,58.4,65,55.4,59.3,65
2025-02-01 2:58,10:00:36,CV,0.875,0.882,0.236,0.208,0.009,0.008,F,F,F,F,F,F,F,0.3,0.76,55.3,58.4,65,55.4,59.3,65
2025-02-01 2:58,10:00:37,CV,0.87,0.927,0.001,0.001,0,0,F,F,F,F,F,F,F,0.29,0.79,55.3,58.4,65,55.4,59.3,65
2025-02-01 2:58,10:00:38,CV,0.865,0.884,0.259,0.229,0.01,0.009,F,F,F,F,F,F,F,0.3,0.75,55.4,58.4,65,55.4,59.3,65
2025-02-01 2:58,10:00:39,CV,0.86,0.921,0.001,0.001,0,0,F,F,F,F,F,F,F,0.3,0.78,55.4,58.4,65,55.4,59.3,65
2025-02-01 2:58,10:00:40,CV,0.855,0.871,0.001,0.001,0,0,F,F,F,F,F,F,F,0.29,0.78,55.4,58.4,65,55.4,59.3,65
2025-02-01 2:58,10:00:41,CV,0.85,0.864,0.338,0.292,0.014,0.012,F,F,F,F,F,F,F,0.29,0.75,55.4,58.4,65,55.4,59.3,65
2025-02-01 2:58,10:00:42,CV,0.845,0.856,0.463,0.396,0.019,0.016,F,F,F,F,F,F,F,0.3,0.79,55.4,58.4,65.1,55.4,59.3,65
2025-02-01 2:58,10:00:43,CV,0.84,0.919,0.001,0.001,0,0,F,F,F,F,F,F,F,0.3,0.79,55.4,58.4,65.1,55.4,59.3,65
2025-02-01 2:58,10:00:44,CV,0.835,0.85,0.208,0.177,0.008,0.007,F,F,F,F,F,F,F,0.3,0.76,55.4,58.4,65.1,55.4,59.3,65
2025-02-01 2:58,10:00:45,CV,0.83,0.832,0.886,0.737,0.035,0.029,F,F,F,F,F,F,F,0.3,0.77,55.4,58.4,65,55.4,59.3,65
2025-02-01 2:58,10:00:46,CV,0.825,0.839,0.785,0.659,0.031,0.026,F,F,F,F,F,F,F,0.29,0.77,55.4,58.4,65,55.4,59.3,65
2025-02-01 2:58,10:00:47,CV,0.82,0.839,0.735,0.617,0.029,0.025,F,F,F,F,F,F,F,0.31,0.77,55.4,58.4,65,55.4,59.3,65
2025-02-01 2:58,10:00:48,CV,0.815,0.826,1.094,0.904,0.044,0.036,F,F,F,F,F,F,F,0.3,0.77,55.4,58.4,65,55.4,59.3,65
2025-02-01 2:58,10:00:49,CV,0.81,0.826,1.087,0.898,0.043,0.036,F,F,F,F,F,F,F,0.29,0.74,55.4,58.4,65,55.4,59.3,65
2025-02-01 2:58,10:00:50,CV,0.805,0.839,1.387,1.164,0.055,0.047,F,F,F,F,F,F,F,0.3,0.72,55.4,58.4,65.1,55.4,59.3,65
2025-02-01 2:58,10:00:51,CV,0.8,0.837,0.847,0.709,0.034,0.028,F,F,F,F,F,F,F,0.29,0.75,55.4,58.4,65.1,55.4,59.3,65
2025-02-01 2:58,10:00:52,CV,0.795,0.811,1.008,0.817,0.04,0.033,F,F,F,F,F,F,F,0.29,0.74,55.4,58.4,65.1,55.4,59.3,65
2025-02-01 2:58,10:00:53,CV,0.79,0.818,1.346,1.101,0.054,0.044,F,F,F,F,F,F,F,0.31,0.77,55.4,58.4,65,55.4,59.3,65
2025-02-01 2:58,10:00:54,CV,0.785,0.795,2.31,1.836,0.092,0.073,F,F,F,F,F,F,F,0.3,0.79,55.4,58.4,65,55.4,59.2,65
2025-02-01 2:58,10:00:55,CV,0.78,0.811,1.675,1.358,0.067,0.054,F,F,F,F,F,F,F,0.3,0.76,55.4,58.4,65,55.4,59.2,65
2025-02-01 2:58,10:00:56,CV,0.775,0.791,1.892,1.497,0.076,0.06,F,F,F,F,F,F,F,0.29,0.78,55.4,58.4,65,55.4,59.2,65
2025-02-01 2:58,10:00:57,CV,0.77,0.79,2.606,2.059,0.104,0.082,F,F,F,F,F,F,F,0.3,0.79,55.4,58.4,65,55.4,59.2,65.1
2025-02-01 2:58,10:00:58,CV,0.765,0.78,2.346,1.83,0.094,0.073,F,F,F,F,F,F,F,0.29,0.8,55.4,58.4,65,55.4,59.2,65.1
2025-02-01 2:58,10:00:59,CV,0.76,0.791,2.664,2.107,0.107,0.084,F,F,F,F,F,F,F,0.29,0.79,55.4,58.4,65,55.4,59.2,65.1
2025-02-01 2:58,10:01:00,CV,0.755,0.765,4.262,3.26,0.17,0.13,F,F,F,F,F,F,F,0.29,0.79,55.4,58.4,65,55.4,59.2,65
2025-02-01 2:58,10:01:01,CV,0.75,0.784,3.164,2.481,0.127,0.099,F,F,F,F,F,F,F,0.3,0.79,55.4,58.4,65,55.4,59.2,65
2025-02-01 2:58,10:01:02,CV,0.745,0.778,5.046,3.926,0.202,0.157,F,F,F,F,F,F,F,0.29,0.76,55.4,58.4,65,55.4,59.2,65
2025-02-01 2:58,10:01:03,CV,0.74,0.763,4.568,3.485,0.183,0.139,F,F,F,F,F,F,F,0.29,0.75,55.4,58.4,65,55.4,59.2,65
2025-02-01 2:58,10:01:04,CV,0.735,0.75,4.154,3.115,0.166,0.125,F,F,F,F,F,F,F,0.29,0.75,55.4,58.4,65,55.4,59.2,65
2025-02-01 2:58,10:01:05,CV,0.73,0.752,5.446,4.095,0.218,0.164,F,F,F,F,F,F,F,0.29,0.77,55.4,58.4,65,55.4,59.2,65
2025-02-01 2:58,10:01:06,CV,0.725,0.762,6.813,5.192,0.273,0.208,F,F,F,F,F,F,F,0.3,0.74,55.4,58.4,65,55.4,59.2,65
2025-02-01 2:58,10:01:07,CV,0.72,0.744,6.241,4.643,0.25,0.186,F,F,F,F,F,F,F,0.29,0.75,55.4,58.4,65,55.4,59.2,65
2025-02-01 2:58,10:01:08,CV,0.715,0.752,7.848,5.902,0.314,0.236,F,F,F,F,F,F,F,0.3,0.78,55.4,58.4,65,55.4,59.1,65
2025-02-01 2:58,10:01:09,CV,0.71,0.75,5.97,4.478,0.239,0.179,F,F,F,F,F,F,F,0.3,0.77,55.4,58.4,65,55.4,59.1,65
2025-02-01 2:58,10:01:10,CV,0.705,0.745,6.426,4.787,0.257,0.191,F,F,F,F,F,F,F,0.3,0.77,55.4,58.4,65,55.4,59,65
2025-02-01 2:58,10:01:11,CV,0.7,0.723,8.229,5.95,0.329,0.238,F,F,F,F,F,F,F,0.29,0.78,55.4,58.4,65,55.4,59,65
2025-02-01 2:58,10:01:12,CV,0.695,0.706,9.881,6.976,0.395,0.279,F,F,F,F,F,F,F,0.3,0.79,55.4,58.4,65,55.4,59,65
2025-02-01 2:58,10:01:13,CV,0.69,0.732,7.727,5.656,0.309,0.226,F,F,F,F,F,F,F,0.29,0.79,55.4,58.4,65,55.4,59,65
2025-02-01 2:58,10:01:14,CV,0.685,0.708,11.1,7.859,0.444,0.314,F,F,F,F,F,F,F,0.3,0.8,55.4,58.4,65,55.4,59,65
