mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),<I>/mA,Current(A),dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,1,0,0,324587.302292229,0.0,0.87951398,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324588.302291484,0.0,0.93602806,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324589.302290739,0.0,0.94588888,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324590.302289994,0.0,0.95126754,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324591.302289249,0.0,0.95487243,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324592.302288504,0.0,0.95731378,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324593.302287759,0.0,0.95903039,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324594.302287014,0.0,0.96055621,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324595.302286269,0.0,0.96196765,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324596.302285524,0.0,0.96274966,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324597.302284779,0.0,0.96349353,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324598.302284034,0.0,0.96400851,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324599.302283288,0.0,0.96479052,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324600.302282543,0.0,0.9652673,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324601.302281798,0.0,0.96557248,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324602.302281053,0.0,0.96589673,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324603.302280308,0.0,0.96629727,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324604.302279563,0.0,0.96622097,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324605.302278818,0.0,0.9665643,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324606.302278073,0.0,0.96646893,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324607.302277328,0.0,0.9668504,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324608.302276583,0.0,0.96669781,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324609.302275838,0.0,0.96681225,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324610.302275093,0.0,0.96694577,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324611.302274348,0.0,0.96711743,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324612.302273603,0.0,0.9671365,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324613.302272858,0.0,0.96694577,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324614.302272113,0.0,0.96715558,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324615.302271368,0.0,0.96706021,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,324616.302270622,0.0,0.96702206,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,0,0,0,324617.302069878,0.96723258,0.96780407,0.0,0.0,0.0,26,0.0,0.0,0.0
2,0,0,1,0,1,324617.303669875,0.9674179,0.96774685,-15.6198932528495,0.015619893252849501,-6.94217477904425e-06,26,-0.015116103,61.956047,0.0006046440997112543
2,0,0,1,0,1,324617.305669874,0.96731782,0.96776593,-30.4156926155091,0.030415692615509103,-2.38397805160946e-05,26,-0.029435271,31.817982,0.0011774108420256918
