mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),<I>/mA,Current(A),dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,0,0,0,252440.54689798,0.0,0.88018155,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252441.546898136,0.0,0.93629503,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252442.546898293,0.0,0.94598424,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252443.546898449,0.0,0.95142013,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252444.546898606,0.0,0.95479614,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252445.546898762,0.0,0.95746636,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252446.546898918,0.0,0.95941186,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252447.546899075,0.0,0.96051806,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252448.546899231,0.0,0.96194857,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252449.546899388,0.0,0.96297854,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252450.546899544,0.0,0.96372241,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252451.546899701,0.0,0.96427554,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252452.546899857,0.0,0.96484774,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252453.546900014,0.0,0.96521008,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252454.54690017,0.0,0.96568692,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252455.546900327,0.0,0.96587765,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252456.546900483,0.0,0.96629727,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252457.54690064,0.0,0.96635449,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252458.546900796,0.0,0.96652615,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252459.546900952,0.0,0.96669781,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252460.546901109,0.0,0.96688855,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
3,0,0,0,0,0,252461.546901265,0.0,0.96673596,0.0,0.0,-0.000350015190972222,14,0.0,0.0,0.0
