mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),<I>/mA,Current(A),dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,1,0,0,288513.928969031,0.0,0.88010526,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288514.928968286,0.0,0.93640947,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288515.928967541,0.0,0.94634664,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288516.928966796,0.0,0.95161086,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288517.928966051,0.0,0.95492965,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288518.928965305,0.0,0.95767617,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288519.92896456,0.0,0.95943093,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288520.928963815,0.0,0.96086138,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288521.92896307,0.0,0.9622156,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288522.928962325,0.0,0.96303576,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288523.92896158,0.0,0.96381778,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288524.928960835,0.0,0.96450442,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288525.92896009,0.0,0.96503848,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288526.928959345,0.0,0.96543896,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288527.9289586,0.0,0.96595395,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288528.928957855,0.0,0.96624005,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288529.92895711,0.0,0.96629727,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288530.928956365,0.0,0.96652615,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288531.92895562,0.0,0.96686947,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288532.928954875,0.0,0.96707928,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288533.92895413,0.0,0.96719372,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288534.928953385,0.0,0.96725094,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288535.928952639,0.0,0.96725094,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288536.928951894,0.0,0.96738446,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288537.928951149,0.0,0.9674226,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288538.928950404,0.0,0.96727002,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288539.928949659,0.0,0.96736538,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288540.928948914,0.0,0.96734631,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288541.928948169,0.0,0.96738446,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,1,0,0,288542.928947424,0.0,0.9674989,0.0,0.0,-0.000350071695963541,14,0.0,0.0,0.0
3,0,0,0,0,0,288543.928746679,0.96743268,0.96797574,0.0,0.0,0.0,26,0.0,0.0,0.0
