Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non,Non,Non,Non,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ),
2025-01-24 16:01,10:00:31,CV,0.9,0.964,0,0,0,0,F,F,F,F,F,F,F,0.3,0.77,55.3,58.5,65,55.3,58.1,65,0
2025-01-24 16:01,10:00:32,CV,0.895,0.964,0,0,0,0,F,F,F,F,F,F,F,0.29,0.74,55.3,58.5,65,55.3,58.2,65,0
2025-01-24 16:01,10:00:33,CV,0.89,0.963,0,0,0,0,F,F,F,F,F,F,F,0.29,0.73,55.3,58.5,65,55.3,58.2,65,0
2025-01-24 16:01,10:00:34,CV,0.885,0.917,0,0,0,0,F,F,F,F,F,F,F,0.29,0.76,55.3,58.5,65,55.3,58.2,65,0
2025-01-24 16:01,10:00:35,CV,0.88,0.942,0,0,0,0,F,F,F,F,F,F,F,0.29,0.79,55.3,58.5,65,55.3,58.2,65,0
2025-01-24 16:01,10:00:36,CV,0.875,0.881,0.359,0.316,0.014,0.013,F,F,F,F,F,F,F,0.3,0.8,55.3,58.5,65,55.3,58.2,65,0
2025-01-24 16:01,10:00:37,CV,0.87,0.927,0,0,0,0,F,F,F,F,F,F,F,0.3,0.76,55.3,58.5,65,55.3,58.2,65,0
2025-01-24 16:01,10:00:38,CV,0.865,0.875,0,0,0,0,F,F,F,F,F,F,F,0.29,0.77,55.3,58.5,65,55.3,58.2,65,0
2025-01-24 16:01,10:00:39,CV,0.86,0.888,0.29,0.258,0.012,0.01,F,F,F,F,F,F,F,0.3,0.78,55.3,58.5,64.9,55.3,58.2,65,0
2025-01-24 16:01,10:00:40,CV,0.855,0.871,0,0,0,0,F,F,F,F,F,F,F,0.29,0.77,55.3,58.5,64.9,55.3,58.2,65,0
2025-01-24 16:01,10:00:41,CV,0.85,0.927,0,0,0,0,F,F,F,F,F,F,F,0.29,0.8,55.3,58.5,64.9,55.3,58.2,65,0
2025-01-24 16:01,10:00:42,CV,0.845,0.856,0.657,0.562,0.026,0.022,F,F,F,F,F,F,F,0.3,0.78,55.3,58.5,65,55.3,58.2,65,0
2025-01-24 16:01,10:00:43,CV,0.84,0.847,0.839,0.711,0.034,0.028,F,F,F,F,F,F,F,0.29,0.8,55.3,58.5,65,55.2,58.2,65,0
2025-01-24 16:01,10:00:44,CV,0.835,0.849,1.159,0.984,0.046,0.039,F,F,F,F,F,F,F,0.29,0.8,55.3,58.4,65,55.2,58.2,65,0
2025-01-24 16:01,10:00:45,CV,0.83,0.845,0.876,0.74,0.035,0.03,F,F,F,F,F,F,F,0.3,0.77,55.3,58.4,65,55.2,58.2,65,0
2025-01-24 16:01,10:00:46,CV,0.825,0.84,0.881,0.74,0.035,0.03,F,F,F,F,F,F,F,0.29,0.78,55.3,58.4,65,55.2,58.3,65,0
2025-01-24 16:01,10:00:47,CV,0.82,0.844,0.911,0.769,0.036,0.031,F,F,F,F,F,F,F,0.29,0.79,55.3,58.4,65,55.2,58.3,65,0
2025-01-24 16:01,10:00:48,CV,0.815,0.826,1.509,1.246,0.06,0.05,F,F,F,F,F,F,F,0.3,0.79,55.3,58.4,64.9,55.3,58.3,65,0
2025-01-24 16:01,10:00:49,CV,0.81,0.833,1.264,1.053,0.051,0.042,F,F,F,F,F,F,F,0.29,0.76,55.3,58.4,64.9,55.3,58.3,65,0
2025-01-24 16:01,10:00:50,CV,0.805,0.847,1.91,1.618,0.076,0.065,F,F,F,F,F,F,F,0.29,0.78,55.3,58.4,65,55.3,58.3,65,0
2025-01-24 16:01,10:00:51,CV,0.8,0.846,0.941,0.796,0.038,0.032,F,F,F,F,F,F,F,0.29,0.81,55.3,58.4,65,55.3,58.4,65,0
2025-01-24 16:01,10:00:52,CV,0.795,0.812,1.901,1.544,0.076,0.062,F,F,F,F,F,F,F,0.3,0.76,55.3,58.4,65,55.3,58.4,65,0
2025-01-24 16:01,10:00:53,CV,0.79,0.821,1.764,1.448,0.071,0.058,F,F,F,F,F,F,F,0.29,0.75,55.3,58.4,65,55.3,58.4,65,0
2025-01-24 16:01,10:00:54,CV,0.785,0.816,3.121,2.547,0.125,0.102,F,F,F,F,F,F,F,0.29,0.75,55.3,58.4,65,55.3,58.4,65,0
2025-01-24 16:01,10:00:55,CV,0.78,0.83,1.535,1.274,0.061,0.051,F,F,F,F,F,F,F,0.3,0.79,55.3,58.4,65,55.3,58.4,64.9,0
2025-01-24 16:01,10:00:56,CV,0.775,0.795,3.874,3.08,0.155,0.123,F,F,F,F,F,F,F,0.29,0.76,55.3,58.4,65,55.3,58.4,64.9,0
2025-01-24 16:01,10:00:57,CV,0.77,0.804,2.745,2.207,0.11,0.088,F,F,F,F,F,F,F,0.29,0.75,55.3,58.4,65,55.3,58.4,64.9,0
2025-01-24 16:01,10:00:58,CV,0.765,0.78,2.086,1.627,0.083,0.065,F,F,F,F,F,F,F,0.3,0.75,55.3,58.3,65,55.3,58.4,64.9,0
2025-01-24 16:01,10:00:59,CV,0.76,0.78,4.284,3.342,0.171,0.134,F,F,F,F,F,F,F,0.29,0.77,55.3,58.3,65,55.3,58.4,64.9,0
2025-01-24 16:01,10:01:00,CV,0.755,0.79,5.486,4.334,0.219,0.173,F,F,F,F,F,F,F,0.3,0.78,55.3,58.3,65,55.3,58.4,64.9,0
2025-01-24 16:01,10:01:01,CV,0.75,0.773,4.93,3.811,0.197,0.152,F,F,F,F,F,F,F,0.3,0.8,55.3,58.3,65,55.3,58.4,64.9,0
2025-01-24 16:01,10:01:02,CV,0.745,0.781,6.468,5.052,0.259,0.202,F,F,F,F,F,F,F,0.3,0.79,55.3,58.3,65,55.3,58.4,64.9,0
2025-01-24 16:01,10:01:03,CV,0.74,0.764,5.797,4.429,0.232,0.177,F,F,F,F,F,F,F,0.29,0.78,55.3,58.3,65,55.3,58.4,64.9,0
2025-01-24 16:01,10:01:04,CV,0.735,0.796,7.488,5.96,0.3,0.238,F,F,F,F,F,F,F,0.29,0.77,55.3,58.3,65,55.3,58.4,64.9,0
2025-01-24 16:01,10:01:05,CV,0.73,0.77,5.512,4.244,0.22,0.17,F,F,F,F,F,F,F,0.3,0.78,55.3,58.3,65,55.3,58.3,64.9,0
2025-01-24 16:01,10:01:06,CV,0.725,0.762,8.659,6.598,0.346,0.264,F,F,F,F,F,F,F,0.29,0.78,55.3,58.3,65,55.3,58.3,65,0
2025-01-24 16:01,10:01:07,CV,0.72,0.762,6.359,4.846,0.254,0.194,F,F,F,F,F,F,F,0.29,0.81,55.3,58.2,65,55.3,58.3,65,0
2025-01-24 16:01,10:01:08,CV,0.715,0.753,7.057,5.314,0.282,0.213,F,F,F,F,F,F,F,0.3,0.78,55.3,58.2,65,55.3,58.3,65,0
2025-01-24 16:01,10:01:09,CV,0.71,0.753,7.274,5.477,0.291,0.219,F,F,F,F,F,F,F,0.29,0.77,55.3,58.2,65,55.3,58.3,65,0
2025-01-24 16:01,10:01:10,CV,0.705,0.721,7.782,5.611,0.311,0.224,F,F,F,F,F,F,F,0.29,0.77,55.3,58.2,65,55.3,58.3,65,0
2025-01-24 16:01,10:01:11,CV,0.7,0.724,10.05,7.276,0.402,0.291,F,F,F,F,F,F,F,0.3,0.77,55.3,58.2,65,55.3,58.2,65,0
2025-01-24 16:01,10:01:12,CV,0.695,0.738,12.03,8.878,0.481,0.355,F,F,F,F,F,F,F,0.29,0.8,55.3,58.2,65,55.3,58.2,65,0
2025-01-24 16:01,10:01:13,CV,0.69,0.717,10.95,7.851,0.438,0.314,F,F,F,F,F,F,F,0.29,0.77,55.3,58.2,65,55.3,58.2,65,0
2025-01-24 16:01,10:01:14,CV,0.685,0.729,9.888,7.208,0.396,0.288,F,F,F,F,F,F,F,0.3,0.79,55.3,58.2,65,55.3,58.2,65,0
2025-01-24 16:01,10:01:15,CV,0.68,0.727,10.31,7.495,0.412,0.3,F,F,F,F,F,F,F,0.3,0.76,55.3,58.2,65,55.3,58.2,65,0
2025-01-24 16:01,10:01:16,CV,0.675,0.717,14.51,10.404,0.58,0.416,F,F,F,F,F,F,F,0.3,0.79,55.3,58.2,65,55.3,58.2,65,0
2025-01-24 16:01,10:01:17,CV,0.67,0.717,11.5,8.245,0.46,0.33,F,F,F,F,F,F,F,0.3,0.79,55.3,58.2,65,55.3,58.2,65,0
2025-01-24 16:01,10:01:18,CV,0.665,0.708,15.69,11.109,0.628,0.444,F,F,F,F,F,F,F,0.3,0.75,55.3,58.2,65,55.3,58.2,65,0
