Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non.1,Non.2,Non.3,Non.4,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ)
2025-01-29 04:34:11,10:00:31,CV,0.9,0.959,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.8,55.3,58.4,64.9,55.4,57.9,65.0
2025-01-29 04:34:12,10:00:32,CV,0.895,0.959,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.76,55.3,58.4,65.0,55.4,57.9,65.0
2025-01-29 04:34:13,10:00:33,CV,0.89,0.959,37.7,36.154,1.508,1.446,F,F,F,F,F,F,F,0.29,0.83,55.3,58.4,65.0,55.4,57.9,65.0
2025-01-29 04:34:14,10:00:34,CV,0.885,0.317,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.78,55.4,58.4,65.0,55.4,57.9,65.0
2025-01-29 04:34:15,10:00:35,CV,0.88,0.93,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.8,55.4,58.4,65.0,55.4,57.9,65.0
2025-01-29 04:34:16,10:00:36,CV,0.875,0.94,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.79,55.4,58.4,65.0,55.4,58.0,65.0
2025-01-29 04:34:17,10:00:37,CV,0.87,0.879,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.78,55.4,58.5,65.0,55.4,58.0,65.0
2025-01-29 04:34:18,10:00:38,CV,0.865,0.923,0.749,0.691,0.03,0.028,F,F,F,F,F,F,F,0.3,0.78,55.4,58.5,65.0,55.4,58.0,65.0
2025-01-29 04:34:19,10:00:39,CV,0.86,0.928,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.76,55.4,58.5,65.0,55.4,58.0,65.0
2025-01-29 04:34:20,10:00:40,CV,0.855,0.923,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.77,55.4,58.5,65.0,55.4,58.0,65.0
2025-01-29 04:34:21,10:00:41,CV,0.85,0.877,0.317,0.278,0.013,0.011,F,F,F,F,F,F,F,0.3,0.74,55.4,58.5,65.0,55.4,58.0,65.0
2025-01-29 04:34:22,10:00:42,CV,0.845,0.921,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.75,55.4,58.5,65.0,55.4,57.9,65.0
2025-01-29 04:34:23,10:00:43,CV,0.84,0.856,0.814,0.697,0.033,0.028,F,F,F,F,F,F,F,0.3,0.82,55.4,58.5,65.0,55.4,57.9,65.0
2025-01-29 04:34:24,10:00:44,CV,0.835,0.842,1.08,0.909,0.043,0.036,F,F,F,F,F,F,F,0.3,0.78,55.4,58.5,65.0,55.4,57.8,65.0
2025-01-29 04:34:25,10:00:45,CV,0.83,0.845,0.585,0.494,0.023,0.02,F,F,F,F,F,F,F,0.3,0.78,55.4,58.5,65.0,55.4,57.8,65.0
2025-01-29 04:34:26,10:00:46,CV,0.825,0.843,0.729,0.615,0.029,0.025,F,F,F,F,F,F,F,0.29,0.75,55.4,58.5,65.0,55.4,57.8,65.0
2025-01-29 04:34:27,10:00:47,CV,0.82,0.836,0.935,0.782,0.037,0.031,F,F,F,F,F,F,F,0.3,0.77,55.4,58.5,65.0,55.5,57.8,65.0
2025-01-29 04:34:28,10:00:48,CV,0.815,0.833,1.057,0.88,0.042,0.035,F,F,F,F,F,F,F,0.29,0.79,55.4,58.5,65.0,55.5,57.8,65.0
2025-01-29 04:34:29,10:00:49,CV,0.81,0.825,0.97,0.8,0.039,0.032,F,F,F,F,F,F,F,0.29,0.78,55.4,58.5,65.0,55.5,57.8,65.0
2025-01-29 04:34:30,10:00:50,CV,0.805,0.838,0.91,0.763,0.036,0.031,F,F,F,F,F,F,F,0.3,0.77,55.4,58.5,65.0,55.5,57.8,65.0
2025-01-29 04:34:31,10:00:51,CV,0.8,0.837,1.009,0.845,0.04,0.034,F,F,F,F,F,F,F,0.3,0.82,55.4,58.5,65.0,55.5,57.8,65.0
2025-01-29 04:34:32,10:00:52,CV,0.795,0.825,1.342,1.107,0.054,0.044,F,F,F,F,F,F,F,0.3,0.82,55.4,58.5,65.0,55.5,57.8,65.0
2025-01-29 04:34:33,10:00:53,CV,0.79,0.82,1.516,1.243,0.061,0.05,F,F,F,F,F,F,F,0.29,0.77,55.4,58.5,65.0,55.5,57.8,65.0
2025-01-29 04:34:34,10:00:54,CV,0.785,0.818,1.692,1.384,0.068,0.055,F,F,F,F,F,F,F,0.29,0.78,55.4,58.5,65.0,55.5,57.8,65.0
2025-01-29 04:34:35,10:00:55,CV,0.78,0.796,2.445,1.946,0.098,0.078,F,F,F,F,F,F,F,0.29,0.75,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:36,10:00:56,CV,0.775,0.801,2.445,1.958,0.098,0.078,F,F,F,F,F,F,F,0.29,0.74,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:37,10:00:57,CV,0.77,0.785,3.047,2.392,0.122,0.096,F,F,F,F,F,F,F,0.29,0.78,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:38,10:00:58,CV,0.765,0.797,2.737,2.181,0.109,0.087,F,F,F,F,F,F,F,0.29,0.75,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:39,10:00:59,CV,0.76,0.792,3.046,2.412,0.122,0.096,F,F,F,F,F,F,F,0.3,0.75,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:40,10:01:00,CV,0.755,0.718,9.565,6.868,0.383,0.275,F,F,F,F,F,F,F,0.29,0.76,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:41,10:01:01,CV,0.75,0.793,5.734,4.547,0.229,0.182,F,F,F,F,F,F,F,0.3,0.76,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:42,10:01:02,CV,0.745,0.761,4.149,3.157,0.166,0.126,F,F,F,F,F,F,F,0.29,0.78,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:43,10:01:03,CV,0.74,0.802,3.05,2.446,0.122,0.098,F,F,F,F,F,F,F,0.3,0.79,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:44,10:01:04,CV,0.735,0.756,6.086,4.601,0.243,0.184,F,F,F,F,F,F,F,0.3,0.75,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:45,10:01:05,CV,0.73,0.768,5.197,3.991,0.208,0.16,F,F,F,F,F,F,F,0.3,0.77,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:46,10:01:06,CV,0.725,0.75,6.715,5.036,0.269,0.201,F,F,F,F,F,F,F,0.3,0.79,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:47,10:01:07,CV,0.72,0.759,8.553,6.492,0.342,0.26,F,F,F,F,F,F,F,0.3,0.76,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:48,10:01:08,CV,0.715,0.731,8.553,6.252,0.342,0.25,F,F,F,F,F,F,F,0.29,0.78,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:49,10:01:09,CV,0.71,0.725,6.852,4.968,0.274,0.199,F,F,F,F,F,F,F,0.29,0.8,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:50,10:01:10,CV,0.705,0.728,8.917,6.492,0.357,0.26,F,F,F,F,F,F,F,0.3,0.76,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:51,10:01:11,CV,0.7,0.766,5.844,4.477,0.234,0.179,F,F,F,F,F,F,F,0.3,0.76,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:52,10:01:12,CV,0.695,0.721,9.816,7.077,0.393,0.283,F,F,F,F,F,F,F,0.3,0.78,55.4,58.5,65.0,55.4,57.7,65.0
2025-01-29 04:34:53,10:01:13,CV,0.69,0.733,8.818,6.464,0.353,0.259,F,F,F,F,F,F,F,0.3,0.79,55.4,58.5,65.0,55.4,57.7,65.0
