mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),<I>/mA,Current(A),dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,1,0,0,360660.671615438,0.0,0.87938046,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360661.671614693,0.0,0.93553215,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360662.671613948,0.0,0.9456982,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360663.671613203,0.0,0.95080978,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360664.671612458,0.0,0.95441467,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360665.671611713,0.0,0.95677972,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360666.671610968,0.0,0.95878243,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360667.671610223,0.0,0.96013665,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360668.671609478,0.0,0.96141452,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360669.671608733,0.0,0.96219653,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360670.671607988,0.0,0.96320742,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360671.671607242,0.0,0.96358889,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360672.671606497,0.0,0.96412295,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360673.671605752,0.0,0.96471423,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360674.671605007,0.0,0.9650194,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360675.671604262,0.0,0.96540082,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360676.671603517,0.0,0.96568692,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360677.671602772,0.0,0.96597302,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360678.671602027,0.0,0.96601117,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360679.671601282,0.0,0.96614468,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360680.671600537,0.0,0.96635449,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360681.671599792,0.0,0.96629727,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360682.671599047,0.0,0.96662152,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360683.671598302,0.0,0.96650708,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360684.671597557,0.0,0.96662152,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360685.671596812,0.0,0.96643078,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360686.671596067,0.0,0.96669781,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360687.671595322,0.0,0.96675503,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360688.671594576,0.0,0.96662152,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,1,0,0,360689.671593831,0.0,0.96660244,0.0,0.0,-0.000351174289279513,14,0.0,0.0,0.0
3,0,0,0,0,0,360690.671393087,0.96663225,0.96715558,0.0,0.0,0.0,26,0.0,0.0,0.0
2,0,0,1,0,1,360690.672993084,0.96681756,0.96717465,-24.0164759159088,0.0240164759159088,-1.06739892959594e-05,26,-0.023228128,40.271297,0.000929125067528101
2,0,0,1,0,1,360690.674993081,0.96671748,0.96706021,-35.1992046356201,0.035199204635620096,-3.0229101286994e-05,26,-0.034039751,27.473923,0.0013615900090702296
2,0,0,1,0,1,360690.676993077,0.96661747,0.96694577,-43.1377910614013,0.0431377910614013,-5.41945403416951e-05,26,-0.041711904,22.415283,0.0016684761837586321
2,0,0,1,0,1,360690.678993074,0.96651739,0.96690762,-43.1886793136596,0.0431886793136596,-7.81882506476508e-05,26,-0.041759465,22.387987,0.0016703785250445535
2,0,0,1,0,1,360690.680993074,0.96641737,0.96671689,-46.4964260101318,0.0464964260101318,-0.000104019597159491,26,-0.04494888,20.791208,0.001797955213945189
2,0,0,1,0,1,360690.682993075,0.9663173,0.96671689,-49.8041721343994,0.0498041721343994,-0.000131688581254747,26,-0.048146535,19.41036,0.00192586137579165
2,0,0,1,0,1,360690.684993075,0.96621722,0.96662152,-50.6183864593506,0.05061838645935061,-0.000159809906217787,26,-0.048928823,19.096252,0.0019571528663713963
2,0,0,1,0,1,360690.686993074,0.9661172,0.96639264,-51.8397090911867,0.0518397090911867,-0.000188609742906358,26,-0.050097514,18.641937,0.0020039005330185567
2,0,0,1,0,1,360690.688993074,0.96601713,0.966488,-54.3332389831543,0.05433323898315431,-0.000218794873979356,26,-0.052512422,17.788155,0.0021004969391340334
2,0,0,1,0,1,360690.690993074,0.96591705,0.96631634,-54.3841289520263,0.0543841289520263,-0.000249008276833428,26,-0.052552272,17.768353,0.0021020908977204037
2,0,0,1,0,1,360690.692993074,0.96581703,0.96603024,-55.1474544525146,0.0551474544525146,-0.000279645750257704,26,-0.05327411,17.517223,0.00213096434640607
2,0,0,1,0,1,360690.694993075,0.96571696,0.96612561,-56.9285514831543,0.0569285514831543,-0.000311272720760769,26,-0.05500013,16.970844,0.002200005261123154
