mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),Current(A),<I>/mA,dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,0,0,0,72073.9928638904,0.0,0.89233762,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72074.9928636557,0.0,0.94879442,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72075.992863421,0.0,0.95878881,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72076.9928631863,0.0,0.96460617,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72077.9928629516,0.0,0.96866876,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72078.9928627169,0.0,0.9715488,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72079.9928624822,0.0,0.97412372,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72080.9928622475,0.0,0.97633618,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72081.9928620128,0.0,0.97784299,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72082.9928617781,0.0,0.97936887,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72083.9928615434,0.0,0.98078024,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72084.9928613088,0.0,0.98200095,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72085.9928610741,0.0,0.98329794,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72086.9928608394,0.0,0.98407996,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72087.9928606047,0.0,0.98503363,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72088.99286037,0.0,0.98583466,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72089.9928601353,0.0,0.98680741,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72090.9928599006,0.0,0.98747498,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72091.9928596659,0.0,0.98804718,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72092.9928594312,0.0,0.98888642,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72093.9928591937,0.0,0.98930603,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72094.9928589553,0.0,0.99001175,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72095.9928587169,0.0,0.99052668,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72096.9928584785,0.0,0.99127054,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
3,0,0,0,0,0,72097.99285824,0.0,0.99170923,0.0,0.0,-0.000346452989366319,14,0.0,0.0,0.0
