Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non,Non,Non,Non,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ)
2025-02-03 11:05,10:00:31,CV,0.9,0.948,0.001,0.001,0,0,F,F,F,F,F,F,F,0.29,0.75,55.6,58.1,65,55.3,60.2,65
2025-02-03 11:06,10:00:32,CV,0.895,0.948,0.001,0.001,0,0,F,F,F,F,F,F,F,0.31,0.78,55.6,58.1,65,55.3,60.2,65
2025-02-03 11:06,10:00:33,CV,0.89,0.315,26.41,8.319,1.056,0.333,F,F,F,F,F,F,F,0.29,0.77,55.6,58.1,65,55.3,60.3,65
2025-02-03 11:06,10:00:34,CV,0.885,0.903,0.002,0.002,0,0,F,F,F,F,F,F,F,0.3,0.77,55.6,58.1,65,55.3,60.3,65
2025-02-03 11:06,10:00:35,CV,0.88,0.926,0.002,0.002,0,0,F,F,F,F,F,F,F,0.29,0.72,55.6,58.2,65,55.3,60.3,65
2025-02-03 11:06,10:00:36,CV,0.875,0.93,0.228,0.212,0.009,0.008,F,F,F,F,F,F,F,0.3,0.77,55.6,58.2,65,55.3,60.4,65
2025-02-03 11:06,10:00:37,CV,0.87,0.914,0.002,0.002,0,0,F,F,F,F,F,F,F,0.3,0.78,55.6,58.2,65,55.3,60.4,65.1
2025-02-03 11:06,10:00:38,CV,0.865,0.907,0.002,0.002,0,0,F,F,F,F,F,F,F,0.29,0.76,55.6,58.3,65,55.3,60.4,65.1
2025-02-03 11:06,10:00:39,CV,0.86,0.844,0.637,0.538,0.025,0.022,F,F,F,F,F,F,F,0.29,0.77,55.6,58.3,65,55.3,60.4,65.1
2025-02-03 11:06,10:00:40,CV,0.855,0.913,0.002,0.002,0,0,F,F,F,F,F,F,F,0.29,0.76,55.6,58.3,65,55.3,60.4,65.1
2025-02-03 11:06,10:00:41,CV,0.85,0.871,0.275,0.24,0.011,0.01,F,F,F,F,F,F,F,0.3,0.78,55.6,58.3,65,55.3,60.4,65.1
2025-02-03 11:06,10:00:42,CV,0.845,0.912,0.002,0.002,0,0,F,F,F,F,F,F,F,0.3,0.77,55.6,58.3,65,55.3,60.4,65.1
2025-02-03 11:06,10:00:43,CV,0.84,0.854,0.307,0.262,0.012,0.01,F,F,F,F,F,F,F,0.3,0.78,55.6,58.3,65,55.3,60.4,65.1
2025-02-03 11:06,10:00:44,CV,0.835,0.836,0.581,0.486,0.023,0.019,F,F,F,F,F,F,F,0.3,0.79,55.6,58.3,65,55.3,60.5,65.1
2025-02-03 11:06,10:00:45,CV,0.83,0.903,0.002,0.002,0,0,F,F,F,F,F,F,F,0.3,0.78,55.6,58.3,65,55.3,60.5,65.1
2025-02-03 11:06,10:00:46,CV,0.825,0.839,0.812,0.681,0.032,0.027,F,F,F,F,F,F,F,0.29,0.79,55.6,58.3,65,55.3,60.5,65.1
2025-02-03 11:06,10:00:47,CV,0.82,0.849,1.123,0.953,0.045,0.038,F,F,F,F,F,F,F,0.3,0.78,55.6,58.3,65,55.3,60.6,65.1
2025-02-03 11:06,10:00:48,CV,0.815,0.832,0.7,0.582,0.028,0.023,F,F,F,F,F,F,F,0.29,0.81,55.6,58.3,65,55.3,60.6,65.1
2025-02-03 11:06,10:00:49,CV,0.81,0.829,0.767,0.636,0.031,0.025,F,F,F,F,F,F,F,0.3,0.76,55.6,58.4,65,55.3,60.6,65.1
