mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),<I>/mA,Current(A),dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,0,0,0,396734.028938645,0.0,0.87905622,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396735.0289379,0.0,0.93536049,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396736.028937155,0.0,0.94535488,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396737.02893641,0.0,0.95061904,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396738.028935665,0.0,0.95418578,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396739.02893492,0.0,0.9566462,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396740.028934175,0.0,0.95851541,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396741.02893343,0.0,0.96013665,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396742.028932685,0.0,0.96109027,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396743.02893194,0.0,0.96202487,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396744.028931194,0.0,0.96294039,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396745.028930449,0.0,0.96341723,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396746.028929704,0.0,0.96406573,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396747.028928959,0.0,0.96456164,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396748.028928214,0.0,0.96486682,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396749.028927469,0.0,0.96490496,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396750.028926724,0.0,0.96545804,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396751.028925979,0.0,0.96570599,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396752.028925234,0.0,0.96585858,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396753.028924489,0.0,0.96580136,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396754.028923744,0.0,0.96618283,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396755.028922999,0.0,0.96631634,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396756.028922254,0.0,0.96625912,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396757.028921509,0.0,0.96618283,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396758.028920764,0.0,0.96639264,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396759.028920019,0.0,0.96629727,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396760.028919274,0.0,0.96639264,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396761.028918528,0.0,0.96639264,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396762.028917783,0.0,0.96644986,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,0,0,0,396763.028917038,0.0,0.96631634,0.0,0.0,-0.000350721950954861,14,0.0,0.0,0.0
3,0,0,1,0,0,396764.028716295,0.96633208,0.96692669,0.0,0.0,0.0,26,0.0,0.0,0.0
2,0,0,0,0,1,396764.030316295,0.96651739,0.96700299,-35.2755329608917,0.035275532960891705,-1.56780146492852e-05,26,-0.034111544,27.412853,0.0013644618338810332
2,0,0,0,0,1,396764.032316295,0.96641737,0.96686947,-39.5247163772584,0.0395247163772584,-3.76361891428629e-05,26,-0.038215242,24.4624,0.001528609663023206
