mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),Current(A),<I>/mA,dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,1,0,0,577100.750371628,0.0,0.87848401,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577101.750370406,0.0,0.9349981,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577102.750369184,0.0,0.94485897,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577103.750367962,0.0,0.95031393,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577104.75036674,0.0,0.95388061,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577105.750365518,0.0,0.95645547,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577106.750364296,0.0,0.95826745,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577107.750363074,0.0,0.95967889,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577108.750361852,0.0,0.96089953,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577109.75036063,0.0,0.96198672,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577110.750359409,0.0,0.96255893,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577111.750358187,0.0,0.96324557,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577112.750356965,0.0,0.96374148,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577113.750355743,0.0,0.96410388,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577114.750354521,0.0,0.96435183,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577115.750353299,0.0,0.96484774,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577116.750352077,0.0,0.96517193,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577117.750350855,0.0,0.96517193,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577118.750349633,0.0,0.96536267,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577119.750348412,0.0,0.96561062,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577120.75034719,0.0,0.9656297,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577121.750345968,0.0,0.96582043,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577122.750344746,0.0,0.96595395,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577123.750343524,0.0,0.96601117,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577124.750342302,0.0,0.96582043,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577125.75034108,0.0,0.96595395,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577126.750339858,0.0,0.96604931,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577127.750338636,0.0,0.9659158,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577128.750337414,0.0,0.96606839,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,1,0,0,577129.750336193,0.0,0.96593487,0.0,0.0,-0.000352305148654513,14,0.0,0.0,0.0
3,0,0,0,0,0,577130.750134974,0.96603191,0.96654522,0.0,0.0,0.0,26,0.0,0.0,0.0
2,0,0,1,0,1,577130.751734974,0.96621722,0.96673596,0.0172737649008631,-17.2737649008631,-7.67722884482807e-06,26,-0.016699169,55.965561,0.0006679667877700076
