Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non.1,Non.2,Non.3,Non.4,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ),Cell (V) 1
2025-01-22 03:38:56,10:00:31,CV,0.9,0.967,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.81,55.2,58.4,64.9,55.4,58.1,64.9,0.0
2025-01-22 03:38:57,10:00:32,CV,0.895,0.307,38.75,11.896,1.55,0.476,F,F,F,F,F,F,F,0.3,0.77,55.3,58.4,64.9,55.4,58.1,64.9,0.0
2025-01-22 03:38:58,10:00:33,CV,0.89,0.92,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.75,55.3,58.4,65.0,55.4,58.1,64.9,0.0
2025-01-22 03:38:59,10:00:34,CV,0.885,0.935,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.8,55.3,58.4,65.0,55.4,58.1,65.0,0.0
2025-01-22 03:39:00,10:00:35,CV,0.88,0.874,0.382,0.334,0.015,0.013,F,F,F,F,F,F,F,0.29,0.79,55.3,58.4,65.0,55.4,58.1,65.0,0.0
2025-01-22 03:39:01,10:00:36,CV,0.875,0.931,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.75,55.3,58.4,65.0,55.4,58.1,65.0,0.0
2025-01-22 03:39:02,10:00:37,CV,0.87,0.931,0.389,0.362,0.016,0.014,F,F,F,F,F,F,F,0.3,0.76,55.3,58.4,65.0,55.4,58.1,65.0,0.0
2025-01-22 03:39:03,10:00:38,CV,0.865,0.929,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.77,55.3,58.4,65.1,55.4,58.1,65.0,0.0
2025-01-22 03:39:04,10:00:39,CV,0.86,0.912,0.638,0.582,0.026,0.023,F,F,F,F,F,F,F,0.3,0.77,55.3,58.4,65.1,55.5,58.1,65.0,0.0
2025-01-22 03:39:05,10:00:40,CV,0.855,0.865,0.638,0.552,0.026,0.022,F,F,F,F,F,F,F,0.29,0.78,55.3,58.4,65.1,55.5,58.1,65.0,0.0
2025-01-22 03:39:06,10:00:41,CV,0.85,0.86,0.616,0.53,0.025,0.021,F,F,F,F,F,F,F,0.29,0.76,55.3,58.4,65.1,55.5,58.1,65.0,0.0
2025-01-22 03:39:07,10:00:42,CV,0.845,0.856,0.8,0.685,0.032,0.027,F,F,F,F,F,F,F,0.3,0.76,55.3,58.4,65.1,55.5,58.0,65.0,0.0
2025-01-22 03:39:08,10:00:43,CV,0.84,0.856,0.84,0.719,0.034,0.029,F,F,F,F,F,F,F,0.3,0.77,55.3,58.4,65.1,55.5,58.0,65.0,0.0
2025-01-22 03:39:09,10:00:44,CV,0.835,0.851,0.927,0.789,0.037,0.032,F,F,F,F,F,F,F,0.3,0.73,55.3,58.4,65.0,55.5,58.0,65.0,0.0
2025-01-22 03:39:10,10:00:45,CV,0.83,0.843,1.139,0.96,0.046,0.038,F,F,F,F,F,F,F,0.29,0.78,55.3,58.4,65.0,55.5,58.0,65.0,0.0
2025-01-22 03:39:11,10:00:46,CV,0.825,0.835,1.44,1.202,0.058,0.048,F,F,F,F,F,F,F,0.3,0.73,55.3,58.4,64.9,55.5,58.0,65.0,0.0
2025-01-22 03:39:12,10:00:47,CV,0.82,0.85,0.975,0.829,0.039,0.033,F,F,F,F,F,F,F,0.29,0.74,55.3,58.4,64.9,55.4,58.0,65.0,0.0
2025-01-22 03:39:13,10:00:48,CV,0.815,0.827,1.098,0.908,0.044,0.036,F,F,F,F,F,F,F,0.29,0.76,55.3,58.4,64.9,55.4,58.0,65.0,0.0
2025-01-22 03:39:14,10:00:49,CV,0.81,0.846,1.446,1.223,0.058,0.049,F,F,F,F,F,F,F,0.29,0.77,55.3,58.4,65.0,55.4,58.0,65.0,0.0
2025-01-22 03:39:15,10:00:50,CV,0.805,0.847,1.116,0.945,0.045,0.038,F,F,F,F,F,F,F,0.3,0.75,55.3,58.4,65.0,55.4,58.0,65.0,0.0
2025-01-22 03:39:16,10:00:51,CV,0.8,0.815,2.406,1.961,0.096,0.078,F,F,F,F,F,F,F,0.3,0.76,55.3,58.5,65.0,55.4,58.0,65.0,0.0
2025-01-22 03:39:17,10:00:52,CV,0.795,0.805,3.045,2.451,0.122,0.098,F,F,F,F,F,F,F,0.3,0.79,55.3,58.5,65.1,55.4,58.0,65.0,0.0
