Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non,Non,Non,Non,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ)
2025-02-06 9:33,10:00:31,CV,0.9,0.946,0.003,0.003,0,0,F,F,F,F,F,F,F,00.29,00.80,55.5,58.4,65,55.3,58.4,65
2025-02-06 9:33,10:00:32,CV,0.895,0.946,0.003,0.003,0,0,F,F,F,F,F,F,F,00.30,00.74,55.5,58.4,65,55.3,58.4,65
2025-02-06 9:33,10:00:33,CV,0.89,0.318,25.9,8.236,1.036,0.329,F,F,F,F,F,F,F,00.29,00.76,55.5,58.4,65,55.3,58.4,65
2025-02-06 9:33,10:00:34,CV,0.885,0.891,0.004,0.004,0,0,F,F,F,F,F,F,F,00.29,00.78,55.5,58.4,65,55.3,58.4,65
2025-02-06 9:33,10:00:35,CV,0.88,0.923,0.004,0.004,0,0,F,F,F,F,F,F,F,00.29,00.76,55.5,58.4,65,55.3,58.4,65
2025-02-06 9:33,10:00:36,CV,0.875,0.91,0.004,0.004,0,0,F,F,F,F,F,F,F,00.29,00.82,55.5,58.4,65,55.4,58.4,65
2025-02-06 9:33,10:00:37,CV,0.87,0.923,0.004,0.004,0,0,F,F,F,F,F,F,F,00.29,00.75,55.5,58.4,65,55.4,58.4,65
2025-02-06 9:33,10:00:38,CV,0.865,0.873,0.208,0.182,0.008,0.007,F,F,F,F,F,F,F,00.30,00.83,55.5,58.4,65,55.4,58.4,65
2025-02-06 9:33,10:00:39,CV,0.86,0.917,0.004,0.004,0,0,F,F,F,F,F,F,F,00.29,00.83,55.5,58.4,65,55.4,58.4,65
2025-02-06 9:33,10:00:40,CV,0.855,0.869,0.004,0.003,0,0,F,F,F,F,F,F,F,00.29,00.77,55.5,58.4,65,55.4,58.4,65
2025-02-06 9:33,10:00:41,CV,0.85,0.861,0.297,0.256,0.012,0.01,F,F,F,F,F,F,F,00.29,00.78,55.4,58.4,65,55.4,58.4,65
2025-02-06 9:33,10:00:42,CV,0.845,0.914,0.004,0.004,0,0,F,F,F,F,F,F,F,00.31,00.76,55.4,58.4,65,55.4,58.4,65
2025-02-06 9:33,10:00:43,CV,0.84,0.914,0.004,0.004,0,0,F,F,F,F,F,F,F,00.29,00.77,55.4,58.4,65,55.4,58.4,65
2025-02-06 9:33,10:00:44,CV,0.835,0.84,0.529,0.444,0.021,0.018,F,F,F,F,F,F,F,00.29,00.81,55.4,58.4,65,55.4,58.4,65
