mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),<I>/mA,Current(A),dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,1,0,0,685320.716737955,0.0,0.87699634,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685321.716736733,0.0,0.93360573,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685322.716735512,0.0,0.94348568,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685323.71673429,0.0,0.94905508,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685324.716733068,0.0,0.95243102,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685325.716731846,0.0,0.95508224,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685326.716730624,0.0,0.95723748,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685327.716729402,0.0,0.95840096,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685328.71672818,0.0,0.95973611,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685329.716726958,0.0,0.96067065,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685330.716725736,0.0,0.96143359,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685331.716724515,0.0,0.96223468,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685332.716723293,0.0,0.96255893,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685333.716722071,0.0,0.96301669,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685334.716720849,0.0,0.96334094,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685335.716719627,0.0,0.96364611,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685336.716718405,0.0,0.96410388,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685337.716717183,0.0,0.9640848,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685338.716715961,0.0,0.96433276,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685339.716714739,0.0,0.9644472,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685340.716713517,0.0,0.96467608,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685341.716712296,0.0,0.96456164,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685342.716711074,0.0,0.96488589,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685343.716709852,0.0,0.96463794,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685344.71670863,0.0,0.96477145,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
3,0,0,1,0,0,685345.716707408,0.0,0.96484774,0.0,0.0,-0.000353266384548611,14,0.0,0.0,0.0
