mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),Current(A),<I>/mA,dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,1,0,0,468880.72958509,0.0,0.87871289,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468881.729584345,0.0,0.93509346,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468882.7295836,0.0,0.94503063,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468883.729582855,0.0,0.95050466,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468884.72958211,0.0,0.95407134,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468885.729581365,0.0,0.95653176,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468886.72958062,0.0,0.95836282,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468887.729579875,0.0,0.95996499,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468888.72957913,0.0,0.96118563,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468889.729578385,0.0,0.96202487,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468890.72957764,0.0,0.96267337,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468891.729576895,0.0,0.96341723,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468892.72957615,0.0,0.96374148,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468893.729575404,0.0,0.96423739,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468894.729574659,0.0,0.96469516,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468895.729573914,0.0,0.9650957,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468896.729573169,0.0,0.96503848,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468897.729572424,0.0,0.96538174,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468898.729571679,0.0,0.9655534,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468899.729570934,0.0,0.96580136,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468900.729570189,0.0,0.96583951,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468901.729569444,0.0,0.96587765,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468902.729568699,0.0,0.96618283,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468903.729567954,0.0,0.96603024,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468904.729567209,0.0,0.96629727,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
3,0,0,1,0,0,468905.729566464,0.0,0.96618283,0.0,0.0,-0.000351004692925347,14,0.0,0.0,0.0
