Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non.1,Non.2,Non.3,Non.4,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ),Cell (V) 1
2025-01-20 21:13:18,00:14:02,CV,0.9,0.334,35.02,11.697,1.401,0.468,F,F,F,F,F,F,F,0.3,0.78,56.5,58.3,65.0,55.6,58.5,65.0,0.0
2025-01-20 21:13:19,00:14:03,CV,0.895,0.307,35.38,10.862,1.415,0.434,F,F,F,F,F,F,F,0.3,0.76,56.5,58.3,65.0,55.6,58.5,65.0,0.0
2025-01-20 21:13:20,00:14:04,CV,0.89,0.926,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.8,56.5,58.3,65.0,55.6,58.4,65.0,0.0
2025-01-20 21:13:21,00:14:05,CV,0.885,0.841,2.977,2.504,0.119,0.1,F,F,F,F,F,F,F,0.29,0.77,56.5,58.3,65.0,55.6,58.4,65.0,0.0
2025-01-20 21:13:22,00:14:06,CV,0.88,0.933,0.475,0.443,0.019,0.018,F,F,F,F,F,F,F,0.3,0.82,56.5,58.3,65.0,55.6,58.4,65.0,0.0
2025-01-20 21:13:23,00:14:07,CV,0.875,0.931,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.31,0.78,56.5,58.3,65.0,55.6,58.4,65.0,0.0
2025-01-20 21:13:24,00:14:08,CV,0.87,0.883,0.428,0.378,0.017,0.015,F,F,F,F,F,F,F,0.29,0.78,56.5,58.3,65.0,55.6,58.4,65.0,0.0
2025-01-20 21:13:25,00:14:09,CV,0.865,0.871,0.617,0.537,0.025,0.021,F,F,F,F,F,F,F,0.3,0.77,56.5,58.3,65.0,55.6,58.3,65.0,0.0
2025-01-20 21:13:26,00:14:10,CV,0.86,0.906,1.384,1.254,0.055,0.05,F,F,F,F,F,F,F,0.3,0.76,56.5,58.3,65.0,55.6,58.3,65.0,0.0
2025-01-20 21:13:27,00:14:11,CV,0.855,0.93,0.677,0.63,0.027,0.025,F,F,F,F,F,F,F,0.3,0.75,56.5,58.3,65.0,55.6,58.3,65.0,0.0
2025-01-20 21:13:28,00:14:12,CV,0.85,0.851,0.727,0.619,0.029,0.025,F,F,F,F,F,F,F,0.29,0.75,56.5,58.3,65.0,55.6,58.3,65.0,0.0
2025-01-20 21:13:29,00:14:13,CV,0.845,0.854,0.979,0.836,0.039,0.033,F,F,F,F,F,F,F,0.29,0.79,56.5,58.3,65.0,55.6,58.3,65.0,0.0
2025-01-20 21:13:30,00:14:14,CV,0.84,0.878,1.421,1.248,0.057,0.05,F,F,F,F,F,F,F,0.29,0.78,56.5,58.3,65.0,55.6,58.3,65.0,0.0
2025-01-20 21:13:31,00:14:15,CV,0.835,0.846,1.239,1.048,0.05,0.042,F,F,F,F,F,F,F,0.31,0.76,56.5,58.3,65.0,55.6,58.4,65.0,0.0
