Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non,Non,Non,Non,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ),
2025-01-25 22:15,10:00:31,CV,0.9,0.963,0,0,0,0,F,F,F,F,F,F,F,00.30,00.78,55.3,58.4,65,55.4,58.6,65,0
2025-01-25 22:15,10:00:32,CV,0.895,0.963,0,0,0,0,F,F,F,F,F,F,F,00.30,00.78,55.3,58.4,65,55.4,58.6,65,0
2025-01-25 22:15,10:00:33,CV,0.89,0.917,0,0,0,0,F,F,F,F,F,F,F,00.29,00.75,55.3,58.3,65,55.4,58.6,65,0
2025-01-25 22:15,10:00:34,CV,0.885,0.934,0,0,0,0,F,F,F,F,F,F,F,00.30,00.75,55.3,58.3,65,55.4,58.6,65,0
2025-01-25 22:15,10:00:35,CV,0.88,0.94,0,0,0,0,F,F,F,F,F,F,F,00.30,00.75,55.3,58.3,65,55.4,58.6,65,0
2025-01-25 22:15,10:00:36,CV,0.875,0.927,0,0,0,0,F,F,F,F,F,F,F,00.30,00.77,55.3,58.3,65,55.4,58.6,65,0
2025-01-25 22:15,10:00:37,CV,0.87,0.927,0.392,0.363,0.016,0.015,F,F,F,F,F,F,F,00.30,00.76,55.3,58.3,65,55.4,58.6,65,0
2025-01-25 22:15,10:00:38,CV,0.865,0.875,0.409,0.358,0.016,0.014,F,F,F,F,F,F,F,00.30,00.78,55.3,58.3,65,55.4,58.6,65,0
2025-01-25 22:15,10:00:39,CV,0.86,0.868,0.526,0.457,0.021,0.018,F,F,F,F,F,F,F,00.29,00.79,55.3,58.3,65,55.4,58.6,65,0
2025-01-25 22:15,10:00:40,CV,0.855,0.865,0.526,0.455,0.021,0.018,F,F,F,F,F,F,F,00.30,00.78,55.3,58.3,65,55.3,58.6,65,0
2025-01-25 22:15,10:00:41,CV,0.85,0.861,0.595,0.512,0.024,0.02,F,F,F,F,F,F,F,00.29,00.78,55.3,58.3,65,55.3,58.6,65,0
2025-01-25 22:15,10:00:42,CV,0.845,0.903,1.053,0.951,0.042,0.038,F,F,F,F,F,F,F,00.30,00.76,55.3,58.3,65.1,55.3,58.6,65,0
