mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),Current(A),<I>/mA,dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,0,0,0,108146.890531166,0.0,0.88182187,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108147.890530928,0.0,0.93764925,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108148.89053069,0.0,0.9471668,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108149.890530451,0.0,0.95243102,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108150.890530213,0.0,0.95592141,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108151.890529974,0.0,0.95840096,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108152.890529736,0.0,0.96021295,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108153.890529498,0.0,0.96179599,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108154.890529259,0.0,0.96303576,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108155.890529021,0.0,0.96377963,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108156.890528782,0.0,0.96442813,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108157.890528544,0.0,0.96515286,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108158.890528305,0.0,0.96583951,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108159.890528068,0.0,0.96625912,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108160.890527833,0.0,0.9665643,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108161.890527599,0.0,0.96694577,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108162.890527364,0.0,0.96707928,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108163.890527129,0.0,0.96725094,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108164.890526894,0.0,0.96759427,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108165.89052666,0.0,0.96768963,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108166.890526425,0.0,0.96793759,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108167.89052619,0.0,0.96795666,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108168.890525956,0.0,0.9680711,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108169.890525721,0.0,0.96812832,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108170.890525486,0.0,0.96831906,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108171.890525252,0.0,0.96828091,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108172.890525017,0.0,0.96824276,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108173.890524782,0.0,0.96822369,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108174.890524548,0.0,0.96862423,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,0,0,0,108175.890524313,0.0,0.96829998,0.0,0.0,-0.000349647650824652,14,0.0,0.0,0.0
3,0,0,1,0,0,108176.890324079,0.96853328,0.9687959,0.0,0.0,0.0,26,0.0,0.0,0.0
2,0,0,0,0,1,108176.891924079,0.96871859,0.969082,0.00525138296931982,-5.25138296931982,-2.33394798636436e-06,26,-0.0050890208,184.53844,0.0002035608284269756
2,0,0,0,0,1,108176.893924078,0.96861851,0.96906292,0.0278203854560852,-27.8203854560852,-1.77897164126237e-05,26,-0.026959704,34.832836,0.001078388158623978
2,0,0,0,0,1,108176.895924077,0.9685185,0.96910107,0.035911639213562,-35.911639213562,-3.77406266629695e-05,26,-0.034802008,26.98571,0.001392080319492676
2,0,0,0,0,1,108176.897924077,0.96841842,0.96883404,0.03748918247222911,-37.4891824722291,-5.85679485632313e-05,26,-0.036320794,25.843029,0.001452831844434676
2,0,0,0,0,1,108176.899924077,0.9683184,0.96883404,0.0441555629730224,-44.1555629730224,-8.30988151861561e-05,26,-0.042779412,21.941381,0.001711176498545108
