Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non,Non,Non,Non,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ),
2025-01-26 18:22,10:00:31,CV,0.9,0.961,0,0,0,0,F,F,F,F,F,F,F,00.29,00.77,55.3,58.2,65,55.3,59.5,64.9,0
2025-01-26 18:22,10:00:32,CV,0.895,0.961,0,0,0,0,F,F,F,F,F,F,F,00.29,00.79,55.3,58.2,65,55.3,59.5,64.9,0
2025-01-26 18:22,10:00:33,CV,0.89,0.311,38.06,11.837,1.522,0.473,F,F,F,F,F,F,F,00.30,00.75,55.3,58.2,65,55.3,59.5,64.9,0
2025-01-26 18:22,10:00:34,CV,0.885,0.916,0,0,0,0,F,F,F,F,F,F,F,00.30,00.75,55.3,58.2,65,55.3,59.5,64.9,0
2025-01-26 18:22,10:00:35,CV,0.88,0.939,0,0,0,0,F,F,F,F,F,F,F,00.30,00.77,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:22,10:00:36,CV,0.875,0.943,0,0,0,0,F,F,F,F,F,F,F,00.29,00.75,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:22,10:00:37,CV,0.87,0.926,0,0,0,0,F,F,F,F,F,F,F,00.30,00.76,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:22,10:00:38,CV,0.865,0.87,0.38,0.331,0.015,0.013,F,F,F,F,F,F,F,00.31,00.77,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:22,10:00:39,CV,0.86,0.918,0,0,0,0,F,F,F,F,F,F,F,00.30,00.80,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:22,10:00:40,CV,0.855,0.866,0.503,0.436,0.02,0.017,F,F,F,F,F,F,F,00.30,00.78,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:22,10:00:41,CV,0.85,0.924,0,0,0,0,F,F,F,F,F,F,F,00.30,00.78,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:22,10:00:42,CV,0.845,0.925,0.639,0.591,0.026,0.024,F,F,F,F,F,F,F,00.29,00.72,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:22,10:00:43,CV,0.84,0.915,0.571,0.522,0.023,0.021,F,F,F,F,F,F,F,00.30,00.77,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:22,10:00:44,CV,0.835,0.845,0.861,0.728,0.034,0.029,F,F,F,F,F,F,F,00.30,00.79,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:23,10:00:45,CV,0.83,0.856,0.63,0.539,0.025,0.022,F,F,F,F,F,F,F,00.29,00.76,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:23,10:00:46,CV,0.825,0.836,1.129,0.944,0.045,0.038,F,F,F,F,F,F,F,00.29,00.76,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:23,10:00:47,CV,0.82,0.838,1.027,0.861,0.041,0.034,F,F,F,F,F,F,F,00.30,00.77,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:23,10:00:48,CV,0.815,0.831,1.258,1.045,0.05,0.042,F,F,F,F,F,F,F,00.30,00.77,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:23,10:00:49,CV,0.81,0.845,0.885,0.748,0.035,0.03,F,F,F,F,F,F,F,00.30,00.76,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:23,10:00:50,CV,0.805,0.822,1.367,1.124,0.055,0.045,F,F,F,F,F,F,F,00.30,00.78,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:23,10:00:51,CV,0.8,0.833,1.227,1.022,0.049,0.041,F,F,F,F,F,F,F,00.31,00.73,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:23,10:00:52,CV,0.795,0.815,2.464,2.008,0.099,0.08,F,F,F,F,F,F,F,00.30,00.76,55.3,58.2,65,55.3,59.5,65,0
2025-01-26 18:23,10:00:53,CV,0.79,0.822,1.698,1.396,0.068,0.056,F,F,F,F,F,F,F,00.29,00.77,55.3,58.2,64.9,55.3,59.5,65,0
2025-01-26 18:23,10:00:54,CV,0.785,0.816,3.047,2.486,0.122,0.099,F,F,F,F,F,F,F,00.30,00.78,55.3,58.2,64.9,55.3,59.4,65,0
2025-01-26 18:23,10:00:55,CV,0.78,0.813,2.171,1.765,0.087,0.071,F,F,F,F,F,F,F,00.29,00.79,55.3,58.2,65,55.3,59.4,65,0
2025-01-26 18:23,10:00:56,CV,0.775,0.795,3.867,3.074,0.155,0.123,F,F,F,F,F,F,F,00.30,00.76,55.3,58.2,65,55.2,59.4,65,0
2025-01-26 18:23,10:00:57,CV,0.77,0.792,3.398,2.691,0.136,0.108,F,F,F,F,F,F,F,00.29,00.79,55.3,58.2,65,55.2,59.4,65,0
2025-01-26 18:23,10:00:58,CV,0.765,0.798,4.628,3.693,0.185,0.148,F,F,F,F,F,F,F,00.29,00.76,55.3,58.2,65,55.2,59.4,65,0
2025-01-26 18:23,10:00:59,CV,0.76,0.782,4.141,3.238,0.166,0.13,F,F,F,F,F,F,F,00.29,00.78,55.3,58.2,65,55.2,59.2,65,0
2025-01-26 18:23,10:01:00,CV,0.755,0.812,2.492,2.024,0.1,0.081,F,F,F,F,F,F,F,00.29,00.77,55.2,58.2,65,55.2,59.2,65,0
2025-01-26 18:23,10:01:01,CV,0.75,0.787,3.99,3.14,0.16,0.126,F,F,F,F,F,F,F,00.30,00.76,55.2,58.2,64.9,55.2,59.2,65,0
2025-01-26 18:23,10:01:02,CV,0.745,0.78,6.633,5.174,0.265,0.207,F,F,F,F,F,F,F,00.31,00.79,55.2,58.2,64.9,55.2,59.2,64.9,0
2025-01-26 18:23,10:01:03,CV,0.74,0.779,4.736,3.689,0.189,0.148,F,F,F,F,F,F,F,00.29,00.75,55.2,58.2,64.9,55.2,59.2,64.9,0
2025-01-26 18:23,10:01:04,CV,0.735,0.771,5.295,4.082,0.212,0.163,F,F,F,F,F,F,F,00.30,00.79,55.2,58.2,65,55.2,59.2,64.9,0
2025-01-26 18:23,10:01:05,CV,0.73,0.755,6.825,5.153,0.273,0.206,F,F,F,F,F,F,F,00.30,00.79,55.2,58.2,65,55.2,59.1,64.9,0
2025-01-26 18:23,10:01:06,CV,0.725,0.765,8.721,6.672,0.349,0.267,F,F,F,F,F,F,F,00.29,00.81,55.2,58.2,65,55.2,59.1,64.9,0
2025-01-26 18:23,10:01:07,CV,0.72,0.762,6.417,4.89,0.257,0.196,F,F,F,F,F,F,F,00.30,00.74,55.2,58.2,65,55.3,59.1,64.9,0
2025-01-26 18:23,10:01:08,CV,0.715,0.738,10.05,7.417,0.402,0.297,F,F,F,F,F,F,F,00.30,00.78,55.3,58.2,65,55.3,59.1,64.9,0
2025-01-26 18:23,10:01:09,CV,0.71,0.754,7.342,5.536,0.294,0.221,F,F,F,F,F,F,F,00.31,00.81,55.3,58.2,65,55.3,59.1,64.9,0
2025-01-26 18:23,10:01:10,CV,0.705,0.745,11.13,8.292,0.445,0.332,F,F,F,F,F,F,F,00.30,00.76,55.3,58.2,65,55.3,59.1,64.9,0
2025-01-26 18:23,10:01:11,CV,0.7,0.727,10.05,7.306,0.402,0.292,F,F,F,F,F,F,F,00.29,00.78,55.3,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:12,CV,0.695,0.721,12.29,8.861,0.492,0.354,F,F,F,F,F,F,F,00.29,00.76,55.3,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:13,CV,0.69,0.717,11.19,8.023,0.448,0.321,F,F,F,F,F,F,F,00.30,00.75,55.3,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:14,CV,0.685,0.73,10.08,7.358,0.403,0.294,F,F,F,F,F,F,F,00.30,00.78,55.3,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:15,CV,0.68,0.695,10.58,7.353,0.423,0.294,F,F,F,F,F,F,F,00.30,00.77,55.3,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:16,CV,0.675,0.718,11.46,8.228,0.458,0.329,F,F,F,F,F,F,F,00.29,00.76,55.3,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:17,CV,0.67,0.685,11.8,8.083,0.472,0.323,F,F,F,F,F,F,F,00.29,00.76,55.3,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:18,CV,0.665,0.708,12.67,8.97,0.507,0.359,F,F,F,F,F,F,F,00.30,00.77,55.3,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:19,CV,0.66,0.675,12.96,8.748,0.518,0.35,F,F,F,F,F,F,F,00.30,00.78,55.3,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:20,CV,0.655,0.699,13.9,9.716,0.556,0.389,F,F,F,F,F,F,F,00.29,00.78,55.3,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:21,CV,0.65,0.665,14.2,9.443,0.568,0.378,F,F,F,F,F,F,F,00.29,00.79,55.3,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:22,CV,0.645,0.689,15.07,10.383,0.603,0.415,F,F,F,F,F,F,F,00.29,00.78,55.3,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:23,CV,0.64,0.655,15.38,10.074,0.615,0.403,F,F,F,F,F,F,F,00.29,00.81,55.3,58.2,64.9,55.3,59.1,65,0
2025-01-26 18:23,10:01:24,CV,0.635,0.661,17.96,11.872,0.718,0.475,F,F,F,F,F,F,F,00.29,00.78,55.3,58.2,64.9,55.3,59.1,65,0
2025-01-26 18:23,10:01:25,CV,0.63,0.68,16.57,11.268,0.663,0.451,F,F,F,F,F,F,F,00.29,00.74,55.3,58.2,64.9,55.3,59.1,65,0
2025-01-26 18:23,10:01:26,CV,0.625,0.669,17.47,11.687,0.699,0.467,F,F,F,F,F,F,F,00.29,00.78,55.3,58.2,64.9,55.3,59.1,65,0
2025-01-26 18:23,10:01:27,CV,0.62,0.63,21.01,13.236,0.84,0.529,F,F,F,F,F,F,F,00.31,00.74,55.3,58.2,64.9,55.3,59.1,65,0
2025-01-26 18:23,10:01:28,CV,0.615,0.642,20.12,12.917,0.805,0.517,F,F,F,F,F,F,F,00.30,00.74,55.3,58.2,64.9,55.3,59.1,65,0
2025-01-26 18:23,10:01:29,CV,0.61,0.687,21.99,15.107,0.88,0.604,F,F,F,F,F,F,F,00.29,00.77,55.3,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:30,CV,0.605,0.655,19.43,12.727,0.777,0.509,F,F,F,F,F,F,F,00.31,00.76,55.3,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:31,CV,0.6,0.61,22.9,13.969,0.916,0.559,F,F,F,F,F,F,F,00.29,00.79,55.2,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:32,CV,0.595,0.644,20.57,13.247,0.823,0.53,F,F,F,F,F,F,F,00.29,00.79,55.2,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:33,CV,0.59,0.605,23.45,14.187,0.938,0.567,F,F,F,F,F,F,F,00.29,00.78,55.2,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:34,CV,0.585,0.663,19.15,12.696,0.766,0.508,F,F,F,F,F,F,F,00.30,00.78,55.2,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:35,CV,0.58,0.628,22.16,13.916,0.886,0.557,F,F,F,F,F,F,F,00.30,00.80,55.2,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:36,CV,0.575,0.599,24.1,14.436,0.964,0.577,F,F,F,F,F,F,F,00.30,00.78,55.2,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:37,CV,0.57,0.58,25.38,14.72,1.015,0.589,F,F,F,F,F,F,F,00.29,00.75,55.2,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:38,CV,0.565,0.59,24.93,14.709,0.997,0.588,F,F,F,F,F,F,F,00.30,00.79,55.2,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:39,CV,0.56,0.606,26.04,15.78,1.042,0.631,F,F,F,F,F,F,F,00.29,00.75,55.2,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:40,CV,0.555,0.58,25.71,14.912,1.028,0.596,F,F,F,F,F,F,F,00.30,00.76,55.2,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:41,CV,0.55,0.565,26.17,14.786,1.047,0.591,F,F,F,F,F,F,F,00.29,00.75,55.2,58.2,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:42,CV,0.545,0.588,25.58,15.041,1.023,0.602,F,F,F,F,F,F,F,00.29,00.79,55.2,58.3,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:43,CV,0.54,0.619,23.46,14.522,0.938,0.581,F,F,F,F,F,F,F,00.29,00.80,55.2,58.3,65,55.3,59.1,65,0
2025-01-26 18:23,10:01:44,CV,0.535,0.56,27.22,15.243,1.089,0.61,F,F,F,F,F,F,F,00.30,00.76,55.3,58.3,65,55.3,59.1,65,0
2025-01-26 18:24,10:01:45,CV,0.53,0.573,26.6,15.242,1.064,0.61,F,F,F,F,F,F,F,00.29,00.79,55.3,58.3,65,55.3,59.1,65,0
2025-01-26 18:24,10:01:46,CV,0.525,0.569,26.97,15.346,1.079,0.614,F,F,F,F,F,F,F,00.30,00.76,55.3,58.3,65,55.2,59.2,65,0
2025-01-26 18:24,10:01:47,CV,0.52,0.561,28.74,16.123,1.15,0.645,F,F,F,F,F,F,F,00.30,00.73,55.3,58.3,65,55.2,59.2,65.1,0
2025-01-26 18:24,10:01:48,CV,0.515,0.539,28.53,15.378,1.141,0.615,F,F,F,F,F,F,F,00.29,00.78,55.3,58.3,64.9,55.2,59.2,65.1,0
2025-01-26 18:24,10:01:49,CV,0.51,0.533,29.31,15.622,1.172,0.625,F,F,F,F,F,F,F,00.30,00.76,55.3,58.3,64.9,55.2,59.3,65.1,0
2025-01-26 18:24,10:01:50,CV,0.505,0.547,28.4,15.535,1.136,0.621,F,F,F,F,F,F,F,00.30,00.80,55.3,58.3,64.9,55.2,59.3,65.1,0
2025-01-26 18:24,10:01:51,CV,0.5,0.539,28.76,15.502,1.15,0.62,F,F,F,F,F,F,F,00.30,00.77,55.3,58.3,65,55.2,59.3,65.1,0
2025-01-26 18:24,10:01:52,CV,0.495,0.536,28.93,15.506,1.157,0.62,F,F,F,F,F,F,F,00.29,00.73,55.3,58.3,65,55.2,59.3,65.1,0
2025-01-26 18:24,10:01:53,CV,0.49,0.506,29.26,14.806,1.17,0.592,F,F,F,F,F,F,F,00.30,00.79,55.2,58.3,65,55.2,59.3,65.1,0
