mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),Current(A),<I>/mA,dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,0,0,0,288517.596966305,0.0,0.8909834,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288518.59696556,0.0,0.94774538,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288519.596964814,0.0,0.95823568,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288520.596964069,0.0,0.96426284,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288521.596963324,0.0,0.96832544,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288522.596962579,0.0,0.97162509,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288523.596961834,0.0,0.97433352,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288524.596961089,0.0,0.97643155,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288525.596960344,0.0,0.97816724,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288526.596959599,0.0,0.97967404,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288527.596958854,0.0,0.98104727,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288528.596958109,0.0,0.98240149,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288529.596957364,0.0,0.98348868,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288530.596956619,0.0,0.98461401,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288531.596955874,0.0,0.98554856,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288532.596955129,0.0,0.9863115,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288533.596954384,0.0,0.98728424,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288534.596953639,0.0,0.98793274,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288535.596952894,0.0,0.98869568,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288536.596952148,0.0,0.98943955,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288537.596951403,0.0,0.99016434,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288538.596950658,0.0,0.99056482,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288539.596949913,0.0,0.99125147,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288540.596949168,0.0,0.99178553,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288541.596948423,0.0,0.99222422,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288542.596947678,0.0,0.99285364,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288543.596946933,0.0,0.99317789,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288544.596946188,0.0,0.99359751,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288545.596945443,0.0,0.99399805,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,0,0,0,288546.596944698,0.0,0.99464655,0.0,0.0,-0.000347838297526041,14,0.0,0.0,0.0
3,0,0,1,0,0,288547.596743953,0.99493277,0.99556202,0.0,0.0,0.0,26,0.0,0.0,0.0
2,0,0,1,0,1,288547.598543953,0.99511331,0.99544758,0.0283349234263102,-28.3349234263102,-1.41674612892998e-05,26,-0.028205931,35.131474,0.001128237238168232
2,0,0,1,0,1,288547.600543954,0.99501324,0.99548572,0.0342832111358642,-34.2832111358642,-3.32136888504028e-05,26,-0.034128446,29.037121,0.001365137884859912
2,0,0,1,0,1,288547.602543953,0.99491322,0.99510431,0.0417129179000854,-41.7129179000854,-5.63875308566623e-05,26,-0.041508704,23.856022,0.001660348175402045
2,0,0,1,0,1,288547.60454395,0.99481314,0.99521869,0.0469035354614258,-46.9035354614258,-8.24450488620334e-05,26,-0.046679277,21.218416,0.001867171004731549
2,0,0,1,0,1,288547.606543947,0.99471307,0.99498987,0.0497023979187011,-49.7023979187011,-0.000110057490030924,26,-0.049453381,20.018951,0.001978135297752667
2,0,0,1,0,1,288547.608543943,0.99461305,0.99487543,0.0488372947692871,-48.8372947692871,-0.000137189318762885,26,-0.048587024,20.371223,0.00194348098534525
2,0,0,1,0,1,288547.61054394,0.99451298,0.99495173,0.0512799362182618,-51.2799362182618,-0.000165678170945909,26,-0.051021062,19.402359,0.002040842450185969
2,0,0,1,0,1,288547.612543936,0.9944129,0.9946847,0.0518397075653076,-51.8397075653076,-0.00019447800678677,26,-0.051564164,19.187698,0.002062566558707429
2,0,0,1,0,1,288547.614543933,0.99431288,0.99462748,0.0540279106140137,-54.0279106140137,-0.000224493510988023,26,-0.053737644,18.409512,0.002149505783347268
2,0,0,1,0,1,288547.61654393,0.99421281,0.9946084,0.0554527835845947,-55.4527835845947,-0.000255300611707899,26,-0.055153806,17.936131,0.002206152174264799
2,0,0,1,0,1,288547.618543929,0.99411279,0.99441767,0.057844538116455,-57.844538116455,-0.000287436464945475,26,-0.05752163,17.191212,0.002300865232639655
2,0,0,1,0,1,288547.620543931,0.99401271,0.9943223,0.0559616672515869,-55.9616672515869,-0.00031852627881368,26,-0.055643935,17.767918,0.002225757347737303
