Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non.1,Non.2,Non.3,Non.4,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ)
2025-01-28 18:29:13,10:00:31,CV,0.9,0.959,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.8,55.4,58.4,65.0,55.3,58.2,65.1
2025-01-28 18:29:14,10:00:32,CV,0.895,0.959,30.68,29.422,1.227,1.177,F,F,F,F,F,F,F,0.3,0.78,55.4,58.4,65.0,55.3,58.2,65.1
2025-01-28 18:29:15,10:00:33,CV,0.89,0.52,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.77,55.4,58.4,65.0,55.2,58.2,65.1
2025-01-28 18:29:16,10:00:34,CV,0.885,0.932,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.75,55.4,58.4,65.0,55.2,58.2,65.0
2025-01-28 18:29:17,10:00:35,CV,0.88,0.937,0.102,0.096,0.004,0.004,F,F,F,F,F,F,F,0.29,0.76,55.4,58.3,65.0,55.2,58.2,65.0
2025-01-28 18:29:18,10:00:36,CV,0.875,0.878,0.347,0.305,0.014,0.012,F,F,F,F,F,F,F,0.31,0.77,55.4,58.3,65.0,55.2,58.3,65.0
2025-01-28 18:29:19,10:00:37,CV,0.87,0.923,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.31,0.77,55.4,58.3,65.0,55.2,58.3,65.0
2025-01-28 18:29:20,10:00:38,CV,0.865,0.875,0.331,0.29,0.013,0.012,F,F,F,F,F,F,F,0.29,0.75,55.4,58.3,65.0,55.2,58.3,65.0
2025-01-28 18:29:21,10:00:39,CV,0.86,0.928,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65.0,55.2,58.3,64.9
2025-01-28 18:29:22,10:00:40,CV,0.855,0.864,0.44,0.38,0.018,0.015,F,F,F,F,F,F,F,0.29,0.76,55.4,58.3,65.0,55.2,58.3,64.9
2025-01-28 18:29:23,10:00:41,CV,0.85,0.855,0.068,0.058,0.003,0.002,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,64.9,55.2,58.3,64.9
2025-01-28 18:29:24,10:00:42,CV,0.845,0.854,0.594,0.507,0.024,0.02,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,64.9,55.2,58.4,64.9
2025-01-28 18:29:25,10:00:43,CV,0.84,0.842,0.776,0.653,0.031,0.026,F,F,F,F,F,F,F,0.29,0.76,55.4,58.3,64.9,55.2,58.4,64.9
2025-01-28 18:29:26,10:00:44,CV,0.835,0.85,0.919,0.781,0.037,0.031,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,64.9,55.2,58.4,64.9
2025-01-28 18:29:27,10:00:45,CV,0.83,0.842,0.806,0.679,0.032,0.027,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,64.9,55.2,58.4,64.9
2025-01-28 18:29:28,10:00:46,CV,0.825,0.842,0.988,0.832,0.04,0.033,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,65.0,55.2,58.4,64.9
2025-01-28 18:29:29,10:00:47,CV,0.82,0.839,0.852,0.715,0.034,0.029,F,F,F,F,F,F,F,0.3,0.8,55.4,58.3,65.0,55.3,58.5,64.9
2025-01-28 18:29:30,10:00:48,CV,0.815,0.826,1.254,1.036,0.05,0.041,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,65.0,55.3,58.5,64.9
2025-01-28 18:29:31,10:00:49,CV,0.81,0.837,0.952,0.797,0.038,0.032,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65.0,55.3,58.5,64.9
2025-01-28 18:29:32,10:00:50,CV,0.805,0.832,1.077,0.896,0.043,0.036,F,F,F,F,F,F,F,0.29,0.76,55.4,58.3,65.0,55.3,58.5,64.9
2025-01-28 18:29:33,10:00:51,CV,0.8,0.811,1.889,1.532,0.076,0.061,F,F,F,F,F,F,F,0.29,0.76,55.3,58.3,65.0,55.3,58.5,64.9
2025-01-28 18:29:34,10:00:52,CV,0.795,0.807,2.092,1.688,0.084,0.068,F,F,F,F,F,F,F,0.3,0.77,55.3,58.3,65.0,55.3,58.5,64.9
2025-01-28 18:29:35,10:00:53,CV,0.79,0.811,1.87,1.517,0.075,0.061,F,F,F,F,F,F,F,0.29,0.77,55.3,58.3,65.0,55.3,58.5,65.0
2025-01-28 18:29:36,10:00:54,CV,0.785,0.796,2.673,2.128,0.107,0.085,F,F,F,F,F,F,F,0.29,0.77,55.3,58.3,65.0,55.3,58.5,65.0
2025-01-28 18:29:37,10:00:55,CV,0.78,0.802,2.387,1.914,0.095,0.077,F,F,F,F,F,F,F,0.3,0.78,55.3,58.3,65.0,55.2,58.5,65.0
2025-01-28 18:29:38,10:00:56,CV,0.775,0.801,2.402,1.924,0.096,0.077,F,F,F,F,F,F,F,0.3,0.78,55.3,58.3,65.0,55.2,58.5,65.0
2025-01-28 18:29:39,10:00:57,CV,0.77,0.78,3.753,2.927,0.15,0.117,F,F,F,F,F,F,F,0.3,0.73,55.3,58.3,65.0,55.2,58.5,65.0
2025-01-28 18:29:40,10:00:58,CV,0.765,0.799,3.023,2.415,0.121,0.097,F,F,F,F,F,F,F,0.3,0.73,55.3,58.3,65.0,55.2,58.6,65.0
2025-01-28 18:29:41,10:00:59,CV,0.76,0.77,4.527,3.486,0.181,0.139,F,F,F,F,F,F,F,0.3,0.79,55.4,58.3,65.0,55.2,58.6,65.0
2025-01-28 18:29:42,10:01:00,CV,0.755,0.777,5.016,3.897,0.201,0.156,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,65.1,55.2,58.6,65.0
2025-01-28 18:29:43,10:01:01,CV,0.75,0.786,3.645,2.865,0.146,0.115,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65.1,55.2,58.6,65.0
2025-01-28 18:29:44,10:01:02,CV,0.745,0.762,5.274,4.019,0.211,0.161,F,F,F,F,F,F,F,0.31,0.77,55.4,58.3,65.1,55.2,58.6,65.0
2025-01-28 18:29:45,10:01:03,CV,0.74,0.75,6.406,4.804,0.256,0.192,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,65.0,55.2,58.6,65.0
2025-01-28 18:29:46,10:01:04,CV,0.735,0.773,6.245,4.827,0.25,0.193,F,F,F,F,F,F,F,0.29,0.77,55.4,58.3,65.0,55.2,58.6,65.0
2025-01-28 18:29:47,10:01:05,CV,0.73,0.74,7.477,5.533,0.299,0.221,F,F,F,F,F,F,F,0.29,0.76,55.4,58.3,65.0,55.2,58.6,65.0
2025-01-28 18:29:48,10:01:06,CV,0.725,0.736,7.959,5.858,0.318,0.234,F,F,F,F,F,F,F,0.3,0.79,55.4,58.3,64.9,55.2,58.6,65.0
