mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),<I>/mA,Current(A),dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,0,0,0,1009980.25583736,0.0,0.8571983,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009981.25583613,0.0,0.91903377,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009982.25583491,0.0,0.92931426,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009983.25583369,0.0,0.93484551,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009984.25583247,0.0,0.9382596,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009985.25583125,0.0,0.94091076,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009986.25583003,0.0,0.94262737,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009987.2558288,0.0,0.94413418,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009988.25582758,0.0,0.94514507,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009989.25582636,0.0,0.94609869,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009990.25582514,0.0,0.94686162,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009991.25582392,0.0,0.94730031,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009992.25582269,0.0,0.94775808,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009993.25582147,0.0,0.94815862,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009994.25582025,0.0,0.9484638,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009995.25581903,0.0,0.9487499,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009996.25581781,0.0,0.94888341,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009997.25581658,0.0,0.94897878,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009998.25581536,0.0,0.949036,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1009999.25581414,0.0,0.94943655,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1010000.25581292,0.0,0.94945562,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1010001.2558117,0.0,0.94941747,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1010002.25581048,0.0,0.94970357,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1010003.25580925,0.0,0.94960821,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1010004.25580803,0.0,0.94958913,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1010005.25580681,0.0,0.94947469,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1010006.25580559,0.0,0.94964635,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1010007.25580437,0.0,0.94966543,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1010008.25580314,0.0,0.94970357,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,0,0,0,1010009.25580192,0.0,0.94953191,0.0,0.0,-0.000382103108723958,14,0.0,0.0,0.0
3,0,0,1,0,0,1010010.2556007,0.94952291,0.950333,0.0,0.0,0.0,26,0.0,0.0,0.0
2,0,0,1,0,1,1010010.2570007,0.94970828,0.95019948,-37.4382950919016,0.0374382950919016,-1.45593352847629e-05,26,-0.035573848,25.380415,0.001422953941136458
2,0,0,1,0,1,1010010.2590007,0.94960821,0.95018041,-39.8809350967407,0.0398809350967407,-3.67154086430867e-05,26,-0.037894085,23.82543,0.0015157633304561785
2,0,0,1,0,1,1010010.2610007,0.94950813,0.95014226,-42.0691378593444,0.0420691378593444,-6.00871502028571e-05,26,-0.039971665,22.585257,0.0015988666288771622
2,0,0,1,0,1,1010010.26300069,0.94940811,0.94966543,-44.9188877105712,0.0449188877105712,-8.50420857005649e-05,26,-0.042657916,21.141785,0.0017063165925112526
2,0,0,1,0,1,1010010.26500069,0.94930804,0.9499706,-42.5271339416503,0.0425271339416503,-0.000108668269104427,26,-0.040399525,22.337988,0.0016159810778731962
2,0,0,1,0,1,1010010.26700069,0.94920796,0.94970357,-49.8041728973388,0.0498041728973388,-0.000136337253623538,26,-0.047299203,19.068754,0.0018919680320599963
2,0,0,1,0,1,1010010.26900068,0.94910794,0.94955099,-48.0230791091919,0.0480230791091919,-0.000163016741169823,26,-0.045600362,19.772804,0.0018240144924392596
2,0,0,1,0,1,1010010.27100068,0.94900787,0.94974172,-50.2621654510498,0.050262165451049806,-0.000190940165996551,26,-0.047736075,18.895758,0.0019094430186561847
2,0,0,1,0,1,1010010.27300068,0.94890779,0.94936025,-53.0101390838623,0.0530101390838623,-0.000220390242417653,26,-0.050325718,17.909031,0.002013028755727611
2,0,0,1,0,1,1010010.27500067,0.94880778,0.94930303,-52.29770526886,0.052297705268860004,-0.000249444521003299,26,-0.04964637,18.151907,0.0019858548029510308
2,0,0,1,0,1,1010010.27700067,0.9487077,0.9493221,-55.0456783294678,0.0550456783294678,-0.000280025450865427,26,-0.052256078,17.246078,0.0020902431579061945
2,0,0,1,0,1,1010010.27900067,0.94860768,0.949036,-55.0965633392334,0.0550965633392334,-0.000310634651872846,26,-0.052288622,17.224958,0.002091544883408508
2,0,0,1,0,1,1010010.28100066,0.94850761,0.94915044,-56.4196636199951,0.0564196636199951,-0.000341978907744089,26,-0.05355075,16.823044,0.0021420299419828135
2,0,0,1,0,1,1010010.28300066,0.94840753,0.94886434,-56.7249938964844,0.0567249938964844,-0.000373492791546715,26,-0.053824324,16.727448,0.002152972955803668
2,0,0,1,0,1,1010010.28500066,0.94830751,0.94878805,-56.4196640014648,0.0564196640014648,-0.000404837047629886,26,-0.053530302,16.81662,0.0021412121195841993
2,0,0,1,0,1,1010010.28700065,0.94820744,0.94876897,-58.7605297088623,0.0587605297088623,-0.000437481784237755,26,-0.055750169,16.146366,0.0022300066899412674
2,0,0,1,0,1,1010010.28900065,0.94810736,0.94855917,-59.9818481445312,0.0599818481445312,-0.000470805032359229,26,-0.056896333,15.814104,0.002275853283641702
2,0,0,1,0,1,1010010.29100064,0.94800735,0.94852102,-57.0812141418457,0.0570812141418457,-0.000502516815874311,26,-0.054142732,16.617043,0.0021657092584264764
2,0,0,1,0,1,1010010.29300064,0.94790727,0.94842565,-58.9640830993652,0.0589640830993652,-0.000535274637699127,26,-0.055923048,16.084803,0.002236921953606778
2,0,0,1,0,1,1010010.29500064,0.94780719,0.94823492,-59.1167465209961,0.059116746520996105,-0.000568117272959815,26,-0.056056563,16.040039,0.002242262536319881
2,0,0,1,0,1,1010010.29700063,0.94770718,0.94823492,-59.2694152832032,0.0592694152832032,-0.000601044723775651,26,-0.056201328,15.998722,0.002248053170380599
2,0,0,1,0,1,1010010.29900063,0.9476071,0.94794881,-59.2694160461426,0.0592694160461426,-0.000633972175015343,26,-0.056184374,15.993895,0.0022473748964134312
2,0,0,1,0,1,1010010.30100063,0.94750708,0.94804418,-59.5238563537597,0.0595238563537597,-0.000667040981557634,26,-0.056431245,15.92713,0.0022572498234935162
2,0,0,1,0,1,1010010.30300062,0.94740701,0.94808233,-61.2540618896484,0.0612540618896484,-0.000701071013821495,26,-0.058073893,15.477869,0.0023229557487320822
2,0,0,1,0,1,1010010.30500062,0.94730693,0.94770086,-60.0327388763428,0.0600327388763428,-0.000734422532876332,26,-0.056893077,15.786401,0.0022757231304506203
2,0,0,1,0,1,1010010.30700062,0.94720691,0.94779623,-59.0149700164795,0.059014970016479505,-0.000767208625634511,26,-0.055934165,16.060268,0.0022373666438072924
2,0,0,1,0,1,1010010.30900062,0.94710684,0.94751012,-63.6458156585694,0.0636458156585694,-0.000802567409992218,26,-0.060305055,14.887234,0.002412202177285959
